"編號",資料名稱,資料來源,更新頻率,檔案格式,主要欄位,資料連結網址,分類及編號,資料集描述,主要欄位說明,資料集類型,資源格式,最後更新時間,資料集提供機關,資料量,收錄期間(起),收錄期間(迄),授權方式,計費方式,計費說明網址,計費法令依據,資料集說明網址,編碼格式,標籤/關鍵字,建立日期,資料集提供機關聯絡人,資料集提供機關電話,資料集提供機關聯絡人電子郵件,備註
89,105年桃園市楊梅區土地公告現值及公告地價,380160000A 【地政局】,每年,CSV,行政區(行政區)、段小段(段小段)、地號(地號)、公告現值(公告現值)、公告地價(公告地價),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0ec79fdb-c56a-4314-84c1-7e9f73deaae4,購屋及遷徒 (195),105年桃園市楊梅區土地公告現值及公告地價,行政區(行政區)、段小段(段小段)、地號(地號)、公告現值(公告現值)、公告地價(公告地價),原始資料,CSV,2018-03-17 09:52:15,380160000A 【地政局】,104244,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""公告現值, 楊梅, 105年, 公告地價""",2016-01-20 00:55:29,莊先生,03-3322101分機5352,122061@mail.tycg.gov.tw,
90,商業行業別及行政區域家數,380170000G 【經濟發展局】,每季,CSV,行政區別行業別(提供本市各行政區及各行業別之資料)、項目(各欄位資料項目分為家數及資本額)、A農林漁牧業(各行業別家數或資本額)、B礦業及土石採取業(各行業別家數或資本額)、C製造業(各行業別家數或資本額)、D電力及燃氣供應業(各行業別家數或資本額)、E用水供應及污染整治業(各行業別家數或資本額)、F營造業(各行業別家數或資本額)、G批發及零售業(各行業別家數或資本額)、H運輸及倉儲業(各行業別家數或資本額)、I住宿及餐飲業(各行業別家數或資本額)、J資訊及通訊傳播業(各行業別家數或資本額)、K金融及保險業(各行業別家數或資本額)、L不動產業(各行業別家數或資本額)、M專業、科學及技術服務業(各行業別家數或資本額)、N支援服務業(各行業別家數或資本額)、O公共行政及國防；強制性社會安全(各行業別家數或資本額)、P教育服務業(各行業別家數或資本額)、Q醫療保健及社會服務業(各行業別家數或資本額)、R藝術、娛樂及休閒服務業(各行業別家數或資本額)、S其他服務業(各行業別家數或資本額)、各行政區合計家數及資本額(各行政區之各行業別合計家數及資本額，單位：家；新臺幣元),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0f0fe1ae-5bad-482c-9db4-90250b4b5169,公共資訊 (948),提供本市各行業別及各行政區域商業家數表供民眾參考使用。,行政區別行業別(提供本市各行政區及各行業別之資料)、項目(各欄位資料項目分為家數及資本額)、A農林漁牧業(各行業別家數或資本額)、B礦業及土石採取業(各行業別家數或資本額)、C製造業(各行業別家數或資本額)、D電力及燃氣供應業(各行業別家數或資本額)、E用水供應及污染整治業(各行業別家數或資本額)、F營造業(各行業別家數或資本額)、G批發及零售業(各行業別家數或資本額)、H運輸及倉儲業(各行業別家數或資本額)、I住宿及餐飲業(各行業別家數或資本額)、J資訊及通訊傳播業(各行業別家數或資本額)、K金融及保險業(各行業別家數或資本額)、L不動產業(各行業別家數或資本額)、M專業、科學及技術服務業(各行業別家數或資本額)、N支援服務業(各行業別家數或資本額)、O公共行政及國防；強制性社會安全(各行業別家數或資本額)、P教育服務業(各行業別家數或資本額)、Q醫療保健及社會服務業(各行業別家數或資本額)、R藝術、娛樂及休閒服務業(各行業別家數或資本額)、S其他服務業(各行業別家數或資本額)、各行政區合計家數及資本額(各行政區之各行業別合計家數及資本額，單位：家；新臺幣元),原始資料,CSV,2018-04-08 14:41:29,380170000G 【經濟發展局】,,2017-10-01,2018-03-31,政府資料開放授權條款－第1版,,,,,Big5,商業行業別及行政區域家數,2017-12-31 18:05:53,陳小姐,03-3322101#5158,095076@mail.tycg.gov.tw,
91,桃園市立案不動產估價師事務所清冊,380160000A 【地政局】,不定期,CSV,核發日期(核發日期)、事務所名稱(事務所名稱)、姓名(姓名)、事務所類別(事務所類別)、開業證書字號(開業證書字號)、事務所地址(事務所地址)、事務所電話(事務所電話)、傳真(傳真)、有效期限(有效期限),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0f20e6f0-66c8-4e14-bd65-9876019a3cae,購屋及遷徒 (195),桃園市立案不動產估價師事務所清冊,核發日期(核發日期)、事務所名稱(事務所名稱)、姓名(姓名)、事務所類別(事務所類別)、開業證書字號(開業證書字號)、事務所地址(事務所地址)、事務所電話(事務所電話)、傳真(傳真)、有效期限(有效期限),原始資料,CSV,2018-03-15 18:29:49,380160000A 【地政局】,28,,,政府資料開放授權條款－第1版,,,,,UTF-8,估價師,2015-12-31 12:48:58,莊先生,03-3322101分機5352,122061@mail.tycg.gov.tw,
92,桃園市最近5年房屋稅綜合統計表,380260000D 【地方稅務局】,不定期,CSV,項目(項目)、戶數_合計(戶數_合計)、戶數_應稅(戶數_應稅)、戶數_免稅(戶數_免稅)、面積_應稅(面積_應稅)、面積_免稅(面積_免稅)、現值_應稅(現值_應稅)、現值_免稅(現值_免稅)、稅額_合計(稅額_合計)、稅額_本稅(稅額_本稅),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0f7fce8f-478c-47df-b1bd-a85cc4eb3f22,公共資訊 (948),桃園市最近5年房屋稅綜合統計表,項目(項目)、戶數_合計(戶數_合計)、戶數_應稅(戶數_應稅)、戶數_免稅(戶數_免稅)、面積_應稅(面積_應稅)、面積_免稅(面積_免稅)、現值_應稅(現值_應稅)、現值_免稅(現值_免稅)、稅額_合計(稅額_合計)、稅額_本稅(稅額_本稅),原始資料,CSV,2018-04-11 15:38:41,380260000D 【地方稅務局】,5,2012-01-01,2016-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,房屋稅,2017-02-16 10:07:34,陳小姐,03-3326181分機2230,ttod@tytax.gov.tw,"""單位：戶、平方公尺；新臺幣千元
資料來源：依據桃園市政府地方稅務局
所屬期間：每年7月1日至6月30日
"""
93,桃園市政府建築管理處職員考試統計報表,380360000G 【都市發展局】,不定期,CSV,"""總人數	合計	小計	高考	普考	特考	其他考試	依其他法令進用人數	備註
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0f85a4a7-0402-4dd7-b877-048df90aab69,公共資訊 (948),桃園市政府建築管理處職員考試統計報表,"""總人數	合計	小計	高考	普考	特考	其他考試	依其他法令進用人數	備註
""",原始資料,CSV,2016-01-27 08:21:16,380360000G 【都市發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""都發局, 高普考""",2016-01-19 10:40:55,蔡先生,03-3322101#5780,10007260@mail.tycg.gov.tw,
94,104-106年度附屬單位決算作業基金平衡綜計表(依科目分列),380200000A 【主計處】,不定期,CSV,科目1(科目1)、科目2(科目2)、科目3(科目3)、科目4(科目4)、本年度決算數_金額(本年度決算數_金額)、本年度決算數_百分比(本年度決算數_百分比)、上年度決算數_金額(上年度決算數_金額)、上年度決算數_百分比(上年度決算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=0fd362be-1ac6-43de-83c2-d576b3d5c88b,公共資訊 (948),104-106年度附屬單位決算作業基金平衡綜計表(依科目分列),科目1(科目1)、科目2(科目2)、科目3(科目3)、科目4(科目4)、本年度決算數_金額(本年度決算數_金額)、本年度決算數_百分比(本年度決算數_百分比)、上年度決算數_金額(上年度決算數_金額)、上年度決算數_百分比(上年度決算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),原始資料,CSV,2018-03-21 13:09:18,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,Big5,附屬單位決算作業基金平衡綜計表,2017-06-20 17:53:19,曾先生,03-3322101#5593,10013928@mail.tycg.gov.tw,自107年起「桃園市都市更新基金」變更為「桃園市都市發展基金」，致主要欄位變更，爰本資料集自107年度後不再更新。
95,桃園市政府地方稅務局106年度歲出預算表,380260000D 【地方稅務局】,不定期,CSV,款(款)、項(項)、目(目)、節(節)、名稱及編號(名稱及編號)、本年度預算數(本年度預算數)、上年度預算數(上年度預算數)、前年度決算數(前年度決算數)、本年度與上年度比較(本年度與上年度比較),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=10098ac5-0729-4214-9040-a951c423d97c,公共資訊 (948),桃園市政府地方稅務局106年度歲出預算表,款(款)、項(項)、目(目)、節(節)、名稱及編號(名稱及編號)、本年度預算數(本年度預算數)、上年度預算數(上年度預算數)、前年度決算數(前年度決算數)、本年度與上年度比較(本年度與上年度比較),原始資料,CSV,2018-04-11 13:59:31,380260000D 【地方稅務局】,6,2017-01-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""地方稅務局, 歲出預算""",2017-06-26 17:02:15,陳小姐,03-3326181分機2230,ttod@tytax.gov.tw,
96,104-106年度附屬單位決算作業基金餘絀撥補綜計表(依撥補項目分列),380200000A 【主計處】,不定期,CSV,項目1(項目1)、項目2(項目2)、預算數_金額(預算數_金額)、預算數_百分比(預算數_百分比)、決算數_金額(決算數_金額)、決算數_百分比(決算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=101a8284-2129-47bb-bd8a-b9dd27b60ae4,公共資訊 (948),104-106年度附屬單位決算作業基金餘絀撥補綜計表(依撥補項目分列),項目1(項目1)、項目2(項目2)、預算數_金額(預算數_金額)、預算數_百分比(預算數_百分比)、決算數_金額(決算數_金額)、決算數_百分比(決算數_百分比)、比較增減_金額(比較增減_金額)、比較增減_百分比(比較增減_百分比),原始資料,CSV,2018-03-21 15:08:18,380200000A 【主計處】,,,,政府資料開放授權條款－第1版,,,,,Big5,附屬單位決算作業基金餘絀撥補綜計表,2017-06-20 17:27:48,曾先生,03-3322101#5593,10013928@mail.tycg.gov.tw,自107年起「桃園市都市更新基金」變更為「桃園市都市發展基金」，致主要欄位變更，爰本資料集自107年度後不再更新。
97,桃園市各級農會通訊資料,380270000G 【農業局】,不定期,CSV,名稱(桃園市各農會名稱)、電話(桃園市各農會電話)、地址(桃園市各農會地址),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=102a51e8-f4ff-47ab-b32b-48b7802214d7,公共資訊 (948),桃園市各級農會名稱、電話、地址以提供民眾諮詢,名稱(桃園市各農會名稱)、電話(桃園市各農會電話)、地址(桃園市各農會地址),原始資料,CSV,2018-03-28 13:58:30,380270000G 【農業局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""農會, 農業局, 公共資訊""",2015-09-18 03:10:16,古琳小姐,3322101#5410,10017795@mail.tycg.gov.tw,
98,桃園市資料開放平台跳出率,380220000A 【研究發展考核委員會】,每季,CSV,日索引、跳出率,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=104ecac8-f635-40e6-8a47-66d8d72f0274,公共資訊 (948),20160101-20170202 GOOGLE ANALYTICS分析資料,日索引、跳出率,原始資料,CSV,2017-02-10 10:47:21,380220000A 【研究發展考核委員會】,399,2016-01-01,,政府資料開放授權條款－第1版,,,,,Big5,"""GA, 跳出率""",2017-02-03 17:00:26,張馨儀,03-3322101分機6961,10018318@mail.tycg.gov.tw,「跳出率」是指單頁造訪 (亦即訪客從入口網頁離開您網站且未與網頁互動) 的百分比。
99,桃園市原住民低收入戶原住民族住宅補助統計,380440000A 【原住民族行政局】,每年,CSV,"""區別,建構住宅補助申請戶數,建構住宅補助戶數,建購住宅補助金額,修繕住宅補助申請戶數,修繕住宅補助戶數,修繕住宅補助金額,住宅租金補貼申請戶數,住宅租金補貼戶數,住宅租金補貼金額""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1076f2dd-cb46-4a68-b946-5cee06f7de85,公共資訊 (948),桃園市原住民低收入戶原住民族住宅補助統計,"""區別,建構住宅補助申請戶數,建構住宅補助戶數,建購住宅補助金額,修繕住宅補助申請戶數,修繕住宅補助戶數,修繕住宅補助金額,住宅租金補貼申請戶數,住宅租金補貼戶數,住宅租金補貼金額""",原始資料,CSV,2017-10-13 09:51:40,380440000A 【原住民族行政局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""桃園市, 原住民族住宅補助, 原住民低收入戶""",2017-10-12 17:15:08,陳慧玲,03-3322101#6692,10015998@mail.tycg.gov.tw,
100,桃園市政府105年度消費爭議申訴案暨調解案類型分析,380430000A 【法務局】,每年,CSV,類別(類別)、項目(項目)、第一次申訴(第一次申訴)、消保官申訴(消保官申訴)、調解案件(調解案件)、合計(合計),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=10a69c34-abfd-4a04-9650-f827a9f30fe7,公共資訊 (948),消費爭議申訴及調解案件類型分析（計量單位：件數）,類別(類別)、項目(項目)、第一次申訴(第一次申訴)、消保官申訴(消保官申訴)、調解案件(調解案件)、合計(合計),原始資料,CSV,2018-03-08 11:20:59,380430000A 【法務局】,,2016-01-01,2016-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""類型分析, 調解, 法務局, 公共資訊, 消費爭議, 申訴""",2017-06-06 15:18:10,魏小姐,03-3322101#5716,10020340@mail.tycg.gov.tw,
101,楊梅三七五租約資料,380160000A 【地政局】,不定期,CSV,行政區(行政區)、段名(段名)、地號(地號),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=10d58235-4cd1-497e-a22e-ac47949e1a17,購屋及遷徒 (195),楊梅三七五租約資料,行政區(行政區)、段名(段名)、地號(地號),原始資料,CSV,2018-03-15 16:40:06,380160000A 【地政局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""三七五, 三七五租約""",2017-03-22 11:10:14,方先生,03-3322101#5352,10017872@mail.tycg.gov.tw,此資料非即時性資料，實際資料以土地登記資料註記為主
102,桃園市消防裝備,380320000A 【消防局】,每半年,CSV,消防衣帽鞋_套(係指災害搶救資源調查清單之消防衣_帽_鞋之數量。)、空氣呼吸器_組(係指災害搶救資源調查清單之空氣呼吸器組之數量。)、熱顯像儀_套(係指災害搶救資源調查清單之熱顯像儀之數量。)、個人用救命器_個(係指災害搶救資源調查清單之個人用救命器之數量。)、氣體偵測器_套(係指災害搶救資源調查清單之CO氣體偵測器_四用氣體偵測器_五用氣體 偵測器_其他氣體偵測器之合計數量。)、破壞器材組_套(係指災害搶救資源調查清單之破壞器材組_移動式之數量。)、空氣壓縮機_台(係指災害搶救資源調查清單之移動式空氣壓縮機及固定式空氣壓縮機之合計數量。)、移動式幫浦_台(係指災害搶救資源調查清單之移動式幫浦之數量。)、救生艇_艘(救生艇數量。)、橡皮艇_艘(橡皮艇數量。)、潛水用裝備_套(係指災害搶救資源調查清單之潛水裝備組_背心BC_蛙鏡_蛙鞋等之數量。),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1121ea3e-bbc9-4ab9-acac-9929a564344b,公共資訊 (948),提供桃園市消防局救災裝備統計,消防衣帽鞋_套(係指災害搶救資源調查清單之消防衣_帽_鞋之數量。)、空氣呼吸器_組(係指災害搶救資源調查清單之空氣呼吸器組之數量。)、熱顯像儀_套(係指災害搶救資源調查清單之熱顯像儀之數量。)、個人用救命器_個(係指災害搶救資源調查清單之個人用救命器之數量。)、氣體偵測器_套(係指災害搶救資源調查清單之CO氣體偵測器_四用氣體偵測器_五用氣體 偵測器_其他氣體偵測器之合計數量。)、破壞器材組_套(係指災害搶救資源調查清單之破壞器材組_移動式之數量。)、空氣壓縮機_台(係指災害搶救資源調查清單之移動式空氣壓縮機及固定式空氣壓縮機之合計數量。)、移動式幫浦_台(係指災害搶救資源調查清單之移動式幫浦之數量。)、救生艇_艘(救生艇數量。)、橡皮艇_艘(橡皮艇數量。)、潛水用裝備_套(係指災害搶救資源調查清單之潛水裝備組_背心BC_蛙鏡_蛙鞋等之數量。),原始資料,CSV,2018-01-31 11:39:24,380320000A 【消防局】,3,2016-07-01,2017-12-31,政府資料開放授權條款－第1版,,,,,UTF-8,"""消防, 消防裝備""",2017-05-10 15:29:20,蘇先生,03-3379119-137,alliechang@mail.tyfd.gov.tw,
103,107年公告地價及公告現值－龍潭區,380160000A 【地政局】,不定期,CSV,行政區( 行政區名稱)、段小段(段名稱)、地號(地號)、公告現值(元/平方公尺)、公告地價(元/平方公尺),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=11366c1d-d744-4dc0-9d3f-4e43b24b117d,購屋及遷徒 (195),提供龍潭區107年公告地價及公告現值,行政區( 行政區名稱)、段小段(段名稱)、地號(地號)、公告現值(元/平方公尺)、公告地價(元/平方公尺),原始資料,CSV,2018-03-14 09:06:35,380160000A 【地政局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""公告現值, 公告地價""",2018-01-08 13:33:42,王先生,03-3322101#5352,10029563@mail.tycg.gov.tw,
104,桃園市步道調查資料(含KML軌跡檔),380300000H 【觀光旅遊局】,不定期,"""CSV, KML""","""區域(13行政區)、步道系統(步道系統)、步道名稱(步道名稱)、調查長度(KM)、步道分類(濱海,湖濱,溪流,水圳,森林,生態,公園,歷史,田野步道)、步道分級(親子級,勇腳級,山友級)、起點(經緯度)、訖點(經緯度)、土地權屬(公有,私有,公有/私有)、步道簡介(步道簡介)""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=11a30af3-c424-472e-a1b3-0e81aaabef46,休閒旅遊 (72),桃園市步道調查資料,"""區域(13行政區)、步道系統(步道系統)、步道名稱(步道名稱)、調查長度(KM)、步道分類(濱海,湖濱,溪流,水圳,森林,生態,公園,歷史,田野步道)、步道分級(親子級,勇腳級,山友級)、起點(經緯度)、訖點(經緯度)、土地權屬(公有,私有,公有/私有)、步道簡介(步道簡介)""",原始資料,"""CSV, KML""",2018-03-08 19:05:38,380300000H 【觀光旅遊局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""觀光旅遊, 桃園市步道""",2016-06-28 06:02:28,陳冠廷,03-3322101#5625,100206872@mail.tycg.gov.tw,
105,中尖載機組發電量(萬瓩),380170000G 【經濟發展局】,每日,CSV,"""能源分類電廠名稱、發電量、影響備轉容量率_百分比
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=11a96cb3-0cc8-4567-8b6e-4743de8069c0,公共資訊 (948),描述用電量,"""能源分類電廠名稱、發電量、影響備轉容量率_百分比
""",原始資料,CSV,2017-07-27 16:33:23,380170000G 【經濟發展局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,中尖載機組發電量,2017-02-17 16:25:03,毛先生,03-3322101#5266,10017636@mail.tycg.gov.tw,
106,資源回收成果統計,380150000I 【環境保護局】,不定期,CSV,年(年)、月(月)、總計(總計)、紙類(紙類)、紙容器(紙容器)、鋁箔包(鋁箔包)、鋁容器(鋁容器)、鐵容器(鐵容器)、其他金屬製品(其他金屬製品)、塑膠容器(塑膠容器)、包裝用發泡塑膠(包裝用發泡塑膠)、其他塑膠製品(其他塑膠製品)、輪胎(輪胎)、玻璃容器(玻璃容器)、其他玻璃製品(其他玻璃製品)、照明光源(照明光源)、乾電池(乾電池)、鉛蓄電池(鉛蓄電池)、家電(家電)、資訊物品(資訊物品)、光碟片(光碟片)、行動電話含充電器(行動電話含充電器)、農藥容器及特殊環境用藥容器(農藥容器及特殊環境用藥容器)、舊衣類(舊衣類)、食用油(食用油)、塑膠袋(塑膠袋)、其他(其他),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=11e8fdb2-3424-420e-815b-92473ca2d016,生活安全及品質 (144),民眾可透過此份資料了解本市資源回收品項之回收成果情形。單位：kg,年(年)、月(月)、總計(總計)、紙類(紙類)、紙容器(紙容器)、鋁箔包(鋁箔包)、鋁容器(鋁容器)、鐵容器(鐵容器)、其他金屬製品(其他金屬製品)、塑膠容器(塑膠容器)、包裝用發泡塑膠(包裝用發泡塑膠)、其他塑膠製品(其他塑膠製品)、輪胎(輪胎)、玻璃容器(玻璃容器)、其他玻璃製品(其他玻璃製品)、照明光源(照明光源)、乾電池(乾電池)、鉛蓄電池(鉛蓄電池)、家電(家電)、資訊物品(資訊物品)、光碟片(光碟片)、行動電話含充電器(行動電話含充電器)、農藥容器及特殊環境用藥容器(農藥容器及特殊環境用藥容器)、舊衣類(舊衣類)、食用油(食用油)、塑膠袋(塑膠袋)、其他(其他),原始資料,CSV,2018-01-23 09:57:12,380150000I 【環境保護局】,,,,政府資料開放授權條款－第1版,,,,,Big5,"""回收量, 資源回收""",2017-11-23 14:03:59,陳泠安小姐,03-3381900#303,110118@tyemid.gov.tw,
107,桃園市消防局消防分隊通訊錄,380320000A 【消防局】,不定期,CSV,單位名稱(依據桃園市政府消防局組織規程設置之科室中心及大隊分隊)、地址(各科室中心及大隊分隊所在地址)、電話(各科室中心及大隊分隊連絡電話)、傳真(各科室中心及大隊分隊傳真電話),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=11f82b77-3737-459d-8ca1-84ae5519dbf4,公共資訊 (948),桃園市所有消防分隊聯絡方式,單位名稱(依據桃園市政府消防局組織規程設置之科室中心及大隊分隊)、地址(各科室中心及大隊分隊所在地址)、電話(各科室中心及大隊分隊連絡電話)、傳真(各科室中心及大隊分隊傳真電話),原始資料,CSV,2018-01-25 15:50:51,380320000A 【消防局】,68,2009/1/1,2018-01-19,政府資料開放授權條款－第1版,,,,,UTF-8,"""連絡消防單位, 消防局, 公共資訊""",2015-10-07 05:49:05,張小姐,03-3379119-114,alliechang@mail.tyfd.gov.tw,
108,桃園市政府水務局管理水門資訊,380250000G 【水務局】,不定期,CSV,地區(地區)、水門名稱(水門名稱)、位置(位置)、X座標_TWD97(X座標_TWD97)、Y座標_TWD97(Y座標_TWD97)、狀態(狀態),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1232b08a-121f-4505-ab39-14f40b12aa19,公共資訊 (948),桃園市政府水務局管理水門資訊,地區(地區)、水門名稱(水門名稱)、位置(位置)、X座標_TWD97(X座標_TWD97)、Y座標_TWD97(Y座標_TWD97)、狀態(狀態),原始資料,CSV,2018-03-26 11:50:47,380250000G 【水務局】,3,2014-11-03,2017-06-09,政府資料開放授權條款－第1版,,,,,UTF-8,水門,2017-06-09 17:34:33,葉先生,03-3033688#3323,10017583@mail.tycg.gov.tw,
109,TYC Talks青年職涯培力及巡迴講座活動,380420000A 【青年事務局】,每年,PDF,"""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=128f605e-bdd6-4b9b-9f14-ab1bec4a7185,公共資訊 (948),為協助青年探索自我、思考未來職涯規劃並了解現今產業概況，因應就業市場的急遽變化與社會經濟之挑戰，本局106年度規劃7場職涯講座活動，除邀請來自不同領域的創業達人及名師分享創業經驗及歷程外，亦邀請物聯網最新產業專家以淺顯易懂案例，向青年學子傳達物聯網概念。,"""機關名稱：桃園市政府青年事務局
地址：桃園市中壢區環北路390號
電話：(03)4225205
""",原始資料,PDF,2017-05-11 14:39:57,380420000A 【青年事務局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,,2017-05-01 16:10:56,黃士純,(03)4225205#3003,10017355@mail.tycg.gov.tw,
110,105年桃園市蘆竹區土地公告現值及公告地價,380160000A 【地政局】,不定期,CSV,行政區(行政區)、段小段(段小段)、地號(地號)、公告現值(公告現值)、公告地價(公告地價),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=12fedd80-3574-40b5-8350-cb4764a85b93,購屋及遷徒 (195),105年桃園市蘆竹區土地公告現值及公告地價,行政區(行政區)、段小段(段小段)、地號(地號)、公告現值(公告現值)、公告地價(公告地價),原始資料,CSV,2018-03-17 09:47:25,380160000A 【地政局】,76815,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""公告現值, 蘆竹, 105年, 公告地價""",2016-01-20 00:55:12,莊先生,03-3322101分機5352,122061@mail.tycg.gov.tw,
111,桃園市政府警察局101~105年中壢分局預算表,380130000C 【警察局】,不定期,CSV,year(預算數，單位為新臺幣/元)、type(預算別，分為歲入來源別及歲出機關別)、breau(機關，預算所屬機關)、art_1(款)、art_2(項)、art_3(目)、art_4(節)、name(名稱，預算名稱)、budget(預算數，單位為新臺幣/元),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1328be1f-2b62-4f92-b50c-72fda68d89cc,公共資訊 (948),桃園市政府警察局101~105年中壢分局預算表,year(預算數，單位為新臺幣/元)、type(預算別，分為歲入來源別及歲出機關別)、breau(機關，預算所屬機關)、art_1(款)、art_2(項)、art_3(目)、art_4(節)、name(名稱，預算名稱)、budget(預算數，單位為新臺幣/元),原始資料,CSV,2018-04-01 13:25:23,380130000C 【警察局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,預算,2016-05-13 01:56:40,"林應龍 ",03-3363488,fxm900206216@tyhp.gov.tw,
112,甲、乙、丙級公民營廢棄物清除機構列表,380150000I 【環境保護局】,不定期,CSV,甲級清除機構(清除機構)、機構管編(清除機構管制編號)、機構名稱(清除機構名稱)、級別(清除機構級別)、機構電話(機構電話)、機構地址(機構地址)、聯絡人(機構聯絡人)、有效期限(許可有效期限)、許可證字號(許可證號),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=13e709ed-fc67-4490-a49f-f45bde040489,公共資訊 (948),桃園市廢棄物清除機構列表,甲級清除機構(清除機構)、機構管編(清除機構管制編號)、機構名稱(清除機構名稱)、級別(清除機構級別)、機構電話(機構電話)、機構地址(機構地址)、聯絡人(機構聯絡人)、有效期限(許可有效期限)、許可證字號(許可證號),原始資料,CSV,2018-01-19 16:29:11,380150000I 【環境保護局】,,2017-12-26,2017-12-25,政府資料開放授權條款－第1版,,,,,Big5,清除機構,2017-12-26 16:05:29,楊幸僖,03-3386021#1514,00406@tydep.gov.tw,
113,非都市土地使用分區及編定面積,380160000A 【地政局】,每半年,PDF,非都市土地使用分區及編定面積,https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=14122fdf-80e3-4f11-bd24-22cc05ab4f1e,購屋及遷徒 (195),非都市土地使用分區及編定面積查詢,非都市土地使用分區及編定面積,原始資料,PDF,2017-06-08 09:11:24,380160000A 【地政局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""使用分區, 非都市土地, 使用地""",2017-06-07 11:48:34,劉文琪,5361,125065@mail.tycg.gov.tw,
114,空氣品質小時值_桃園市_桃園站,380150000I 【環境保護局】,每日,JSON,SiteId(測站ID)、SiteName(測站名稱)、County(縣市)、ItemId(偵測項目ID)、ItemName(偵測項目名稱)、ItemEngName(偵測項目英文名稱)、ItemUnit(數值單位)、MonitorDate(檢測日期)、Concentration(濃度)、id(id),https://data.tycg.gov.tw//opendata/datalist/datasetMeta?oid=1438de02-54e2-414f-97ae-43f9e844e1af,生活安全及品質 (144),桃園市-大園站小時值(來源資料：行政院環保署),SiteId(測站ID)、SiteName(測站名稱)、County(縣市)、ItemId(偵測項目ID)、ItemName(偵測項目名稱)、ItemEngName(偵測項目英文名稱)、ItemUnit(數值單位)、MonitorDate(檢測日期)、Concentration(濃度)、id(id),原始資料,JSON,2018-07-07 21:15:02,380150000I 【環境保護局】,,,,政府資料開放授權條款－第1版,,,,,UTF-8,"""桃園市, 空氣品質""",2017-12-01 15:55:20,王大明,1234567,aaa@bbb.z,
