編號,資料集名稱,資料集說明,資料集連結網址,主要欄位說明,使用對象,授權說明網址,更新頻率,計費方式,資料分類,資料量,資料集提供機關,資料集提供機關聯絡人,資料集提供機關聯絡人電話,資料集空間範圍,資料集語系,資料集類型,關鍵字,備註
116,臺中市查獲毒品案件－月別,臺中市政府警察局各月份查獲之各類毒品件數、人數等資料,http://opendata.taichung.gov.tw/dataset/1b390a37-1b54-11e8-8f43-00155d021202,"表號,表名,統計科目代碼,統計科目名稱,資料日期,地區代碼,地區名稱,週期代碼,週期名稱,複分類一,複分類一名稱,複分類二,複分類二名稱,複分類三,複分類三名稱,複分類四,複分類四名稱,複分類五,複分類五名稱,衍生項目代碼,衍生項目說明,數值資料,文字符號,製表機關單位,製表機關名稱,建立時間,修改時間",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府警察局,鍾麗涵,0423286981,臺中市,中文,rawData,"刑案, 毒品",
117,臺中市主要犯罪場所－被害人,臺中市各場所及各分區被害人數統計資料,http://opendata.taichung.gov.tw/dataset/1b390acf-1b54-11e8-8f43-00155d021202,類別、總計、總計1、住宅區、住宅區1、市街商店、市街商店1、特殊營業場所、特殊營業場所1、交通場所、交通場所1、機關文教衛生公益、機關文教衛生公益1、金融保險證券機構、金融保險證券機構1、工礦廠場及倉庫、金融保險證券機構2、工礦廠場及倉庫1、工礦廠場及倉庫2、其他、其他1,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府警察局,鍾麗涵,0423286981,臺中市,中文,rawData,"刑案, 刑事, 被害人",
118,臺中市常備兵役男家屬107年第1季各項扶(慰)助經費統計表,臺中市常備兵役男家屬107年第1季各項扶(慰)助經費統計表,http://opendata.taichung.gov.tw/dataset/c7b6da49-190a-4f15-acf0-c8c504ef849d,臺中市常備兵役男家屬107年第1季各項扶(慰)助經費統計表,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,服兵役,0,臺中市政府民政局,李若萌,04-22289111#29503,全臺中市,中文,rawData,"常備役, 生活扶助",
119,臺中市政府警察局106年下半年設置巡邏箱及區(線)統計一覽表,統計本局各分局、(大)隊巡邏箱線區塊數,http://opendata.taichung.gov.tw/dataset/1b390d53-1b54-11e8-8f43-00155d021202,統計單位名稱、巡邏線數、巡邏箱數、巡邏區塊數,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,生活安全及品質,0,臺中市政府警察局,張毓銓,04-2327-7029,,中文,rawData,巡邏箱,
120,臺中市直轄市第二屆市政會議專案報告提案及頒獎資訊(CSV),市政會議係臺中市政府最高決策會議，為讓民眾更瞭解整體市政推動情形，除開會當天透由網路直播方式提供市民線上參與外，亦於當天晚上藉由有線電視頻道重播及上傳至臺中視界網（http://vod.taichung.gov.tw/lp.asp?CtNode=6734&CtUnit=3190&BaseDSD=67&mp=1），另市政會議紀錄置於本府網站（http://www.taichung.gov.tw/lp.asp?CtNode=26110&CtUnit=2546&BaseDSD=7&mp=1001D），市民可充分清楚了解市政府各項計畫執行情形。,http://opendata.taichung.gov.tw/dataset/3b2814c9-1a9f-11e8-8f43-00155d021202,市政會議紀錄簡易摘要暨函文資訊,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府研究發展考核委員會,黃齡儀,21205,,中文,rawData,市政會議紀錄,
121,屯區藝文中心105年7-8月活動表,屯區藝文中心105年7-8月活動表,http://opendata.taichung.gov.tw/dataset/3af24bec-1a9f-11e8-8f43-00155d021202,活動類別、日期、活動地點、活動名稱、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定時,免費,休閒旅遊,39,臺中市政府文化局,張碧純,04-23921122#111,,中文,rawData,活動,
122,臺中市公告區域排水資料,提供KML格式有座標及metadata資料,http://opendata.taichung.gov.tw/dataset/3abb75cf-1a9f-11e8-8f43-00155d021202,排水路名稱,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,0,臺中市政府水利局,陳宏安,04-22289111#53153,,中文,rawData,"排水, 地理資料",
123,臺中市列管夜市,臺中市列管夜市行政區、名稱、位址、攤販數、營業時間,http://opendata.taichung.gov.tw/dataset/3ad20b35-1a9f-11e8-8f43-00155d021202,"行政區,名稱,位址,攤販數,營業時間,備註",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,休閒旅遊,0,臺中市政府經濟發展局,游忠健,22289111-31558,,中文,rawData,臺中市夜市,
124,臺中市政府許可仲介本國人在國內工作之私立就業服務機構暨分支機構名冊,經臺中市政府核發許可證之仲介本國人在國內工作之私立就業服務機構暨分支機構,http://opendata.taichung.gov.tw/dataset/3ad49182-1a9f-11e8-8f43-00155d021202,縣市別、許可證字號、機構名稱、機構地址、機構、電話、負責人姓名、機構性質、首次發給執照日期、許可證有效期限、經營業務項目、資本額、員工人數、專業人員姓名、專業人員證照字號,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,求職及就業,0,臺中市政府勞工局,沈智偉,04-22289111分機35614,,中文,rawData,私立就業服務機構,
125,臺中市政府就業服務據點,臺中市各區之就業服務據點資訊及聯絡方式,http://opendata.taichung.gov.tw/dataset/3ad49318-1a9f-11e8-8f43-00155d021202,名稱、地址、電話、傳真、服務區域\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,求職及就業,0,臺中市政府勞工局,石芸瑄,36215,,中文,rawData,"求職, 據點",
126,臺中市野生動物保護區,臺中市野生動物保護區,http://opendata.taichung.gov.tw/dataset/3ac4c533-1a9f-11e8-8f43-00155d021202,編號、單位名稱、地址、電話、網站,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,休閒旅遊,0,臺中市政府農業局,趙俊怡,04-22289111#56044,,中文,rawData,野生動物保護區,
127,臺中市百大名攤名產,臺中市百大名攤名產攤名、區域、電話、地址,http://opendata.taichung.gov.tw/dataset/3ad206fb-1a9f-11e8-8f43-00155d021202,"編號,攤名,區域,電話,地址",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,休閒旅遊,100,臺中市政府經濟發展局,洪恩婷,0422289111#31138,,中文,rawData,"臺中市, 名產",
128,臺中市休閒農場,臺中市取得許可登記證之休閒農場名單,http://opendata.taichung.gov.tw/dataset/3ac85253-1a9f-11e8-8f43-00155d021202,序號、名稱、所在地、地址、電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,休閒旅遊,0,臺中市政府農業局,洪德芬,04-22289111#56406,全臺中市,中文,rawData,休閒農場,
129,臺中市公有路外停車場總表,臺中市公有路外停車場總表,http://opendata.taichung.gov.tw/dataset/3ace7e84-1a9f-11e8-8f43-00155d021202,編號、區別、名稱、車位數(大客車)、車位數(汽車)、車位數(機車)、土地面積(㎡)、設置地點、構造方式、收費費率、收費時間、備註、代管單位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府交通局,歐政昕,61378,,中文,rawData,臺中市公有路外停車場總表,
130,臺中市藝術亮點,「臺中市藝術亮點」係為提供在地藝文工作者展覽、發表以及民眾親近參與的新空間。藉由廣設文化據點，供藝術工作者創意揮灑，也能同時兼具藝文人才的培養及藝文人口的增加，並建立廣泛且生活化的文化藝術版圖。,http://opendata.taichung.gov.tw/dataset/3ad498a2-1a9f-11e8-8f43-00155d021202,臺中市藝術亮點地點介紹(類別、名稱、地點、電話、網址、開放時間)\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,休閒旅遊,84,臺中市政府文化局,林倩,22289111+25105,,中文,rawData,臺中市藝術亮點,
131,臺中市計程車招呼站設置地點,臺中市既有計程車招呼站位置與格位數,http://opendata.taichung.gov.tw/dataset/3ad49e66-1a9f-11e8-8f43-00155d021202,"行政區,設置地點,格位數,位置座標,備註",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,298,臺中市政府交通局,董勝凱,04-22289111#60314,,中文,rawData,"計程車招呼站, 位置座標, 格位, 地理資料",
132,臺中市腎臟病健康促進機構,臺中市腎臟病健康促進機構,http://opendata.taichung.gov.tw/dataset/3ace730e-1a9f-11e8-8f43-00155d021202,醫療院所名稱、聯絡地址、電話\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,就醫,0,臺中市政府衛生局,廖靜宜,04-25265394*3340,,中文,rawData,"腎臟病, 台中市",
133,臺中市104年10-12月役男徵兵檢查人數統計表,臺中市104年10-12月役男徵兵檢查人數統計表,http://opendata.taichung.gov.tw/dataset/3adabc9d-1a9f-11e8-8f43-00155d021202,年、月、年次、判定體位檢查人數、判定體位常備役體位暨常甲、判定體位常備役乙等、判定體位替代役體位暨替甲、判定體位替代役乙等、判定體位免役體位、判定體位體位未定、判定體位專科檢查、身心障礙書面審核、役男體檢住所檢查、役男體檢重點檢查、重大傷病書面審核、未受檢查在學緩徵、未受檢查報考大專、未受檢查現役軍警、未受檢查因案緩徵、未受檢查出境、未受檢查僑民役男、未受檢查其他\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,服兵役,0,臺中市政府民政局,陳淑貞,22289111+29606,,中文,rawData,常備役,
134,臺中市平均旅行時間動態資料,平均旅行時間動態資料,http://opendata.taichung.gov.tw/dataset/3af22ab9-1a9f-11e8-8f43-00155d021202,avipairid(路段配對編號)、配對起始點設備狀態、配對結束點設備狀態、traveltime(路段旅行時間)、datacollecttime(資料時間),一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每小時,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,平均旅行時間動態資料,
135,臺中市104年10-12月役男申請複檢案件統計表,臺中市104年10-12月役男申請複檢案件統計表,http://opendata.taichung.gov.tw/dataset/3adabe1c-1a9f-11e8-8f43-00155d021202,年、月、複檢醫院、公費 ( 人數 )、自費 ( 人數 ),一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,服兵役,0,臺中市政府民政局,陳淑貞,22289111+29606,,中文,rawData,常備役,
136,臺中市違反就業服務法僱用外籍勞工案件統計,臺中市政府勞工局裁處違反就業服務法統計表,http://opendata.taichung.gov.tw/dataset/3adfcfd5-1a9f-11e8-8f43-00155d021202,法條、月份,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,求職及就業,0,臺中市政府勞工局,李孟樺,04-22289111#35520,,中文,rawData,裁處違反就業服務法,
137,臺中市港區藝術中心藏品資料表,臺中市港區藝術中心藏品資料表,http://opendata.taichung.gov.tw/dataset/3af24931-1a9f-11e8-8f43-00155d021202,臺中市港區藝術中心藏品資料表之序號、編號、類別、作品尺寸、作品名稱、作者\r\n\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定時,免費,休閒旅遊,0,臺中市政府文化局,吳亮萱,04-26274568#214,,中文,rawData,典藏品,
138,107年替代役申請人數統計表,107年指定役別甄選及82年次以前全面轉服替代役統計資料,http://opendata.taichung.gov.tw/dataset/03ea3db5-304f-467d-8708-029bcb7bf78d,鄉鎮市區、一般資格、家庭資格、宗教資格、專長資格、志工資格、研發及產業訓儲、當年次,一般民眾,https://data.gov.tw/license,每年,免費,服兵役,0,臺中市政府民政局,嚴怡瑋,04-22177166,全臺中市,中文,rawData,替代役申請,
139,臺中市查獲毒品嫌疑犯人數─犯罪方法別、教育程度別,臺中市種毒品犯罪方法及教育程度人數統計資料,http://opendata.taichung.gov.tw/dataset/1b390c0a-1b54-11e8-8f43-00155d021202,類別、總計、總計1、總計2、製造或栽種、製造或栽種1、製造或栽種2、運輸、運輸1、運輸2、販賣、販賣1、販賣2、意圖販賣、意圖販賣1、意圖販賣2、強暴脅迫等非法使用人施用、強暴脅迫等非法使用人施用1、強暴脅迫等非法使用人施用2、引誘他人施用、引誘他人施用1、引誘他人施用2、轉讓、轉讓1、轉讓2、施用、施用1、施用2、持有、持有1、持有2、其他、其他1、其他2、小計、小計1、小計2、製造、製造1、製造2、運輸3、運輸4、運輸5、販賣3、販賣4、販賣5、意圖販賣3、意圖販賣4、意圖販賣5、強暴脅迫等非法使用人施用3、強暴脅迫等非法使用人施用4、強暴脅迫等非法使用人施用5、引誘他人施用3、引誘他人施用4、引誘他人施用5、轉讓3、轉讓4、轉讓5、施用3、施用4、施用5、持有3、持有4、持有5、其他3、其他4、其他5、小計3、小計4、小計5、製造或栽種3、製造或栽種4、製造或栽種5、運輸6、運輸7、運輸8、販賣6、販賣7、販賣8、意圖販賣6、意圖販賣7、意圖販賣8、強暴脅迫等非法使用人施用6、強暴脅迫等非法使用人施用7、強暴脅迫等非法使用人施用8、強暴脅迫等非法使用人施用9、強暴脅迫等非法使用人施用10、引誘他人施用6、轉讓6、轉讓7、轉讓8、施用6、施用7、施用8、持有6、持有7、持有8、其他6、其他7、其他8、小計6、小計7、小計8、製造3、製造4、製造5、運輸9、運輸10、運輸11、販賣9、販賣10、販賣11、意圖販賣9、意圖販賣10、意圖販賣11、強暴脅迫等非法使用人施用11、強暴脅迫等非法使用人施用12、強暴脅迫等非法使用人施用13、引誘他人施用7、引誘他人施用8、引誘他人施用9、轉讓9、轉讓10、轉讓11、持有9、持有10、持有11、其他9、其他10、其他11、小計9、小計10、小計11、製造6、製造7、製造8、運輸12、運輸13、運輸14、販賣12、販賣13、販賣14、意圖販賣12、意圖販賣13、意圖販賣14、強暴脅迫等非法使用人施用14、強暴脅迫等非法使用人施用15、強暴脅迫等非法使用人施用16、引誘他人施用10、引誘他人施用11、引誘他人施用12、轉讓12、轉讓13、轉讓14、持有12、持有13、持有14、其他12、其他13、其他14、非四級其他、非四級其他1、非四級其他2,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府警察局,鍾麗涵,0423286981,臺中市,中文,rawData,"刑案, 毒品",
140,臺中市派出所轄區範圍_TWD97,臺中市派出所轄區範圍,http://opendata.taichung.gov.tw/dataset/1333f551-1623-46ec-b507-f3a9631f45f2,NA,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,公共資訊,1,臺中市政府警察局,陳志益,04-23285141,臺中市,中文,rawData,"派出所,分駐所,地理資料,SHP",
141,臺中市政府警察局刑事警察大隊公務統計方案年報,"臺中市政府警察局刑事警察大隊公務統計方案年報
",http://opendata.taichung.gov.tw/dataset/1b390ca5-1b54-11e8-8f43-00155d021202,類別、總計、總計1、總計2、住宅區、住宅區1、住宅區2、市街商店、市街商店1、市街商店2、特殊營_業場所、特殊營_業場所1、特殊營_業場所2、交通場所、交通場所1、交通場所2、機關文教_衛生機構、機關文教_衛生機構1、機關文教_衛生機構2、金融保險_證券機構、金融保險_證券機構1、金融保險_證券機構2、工礦廠場_及倉庫、工礦廠場_及倉庫1、工礦廠場_及倉庫2、山林郊野、山林郊野1、山林郊野2、其他、其他1、其他2,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府警察局,陳正斌,0423286981,臺中市,中文,rawData,"臺中市, 刑事, 公務統計",
142,臺中市低碳旅館,臺中市低碳旅館,http://opendata.taichung.gov.tw/dataset/3ace91de-1a9f-11e8-8f43-00155d021202,旅宿名稱、地址、電話、傳真、電子郵件、網址,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定時,免費,休閒旅遊,0,臺中市政府觀光旅遊局,陳冠宏,22289111-58035,,中文,rawData,低碳旅館,
143,臺中市環境教育設施場所,整合環境教育專業人力、課程方案及經營管理，用以提供環境教育專業服務之具有豐富生態或人文與自然特色之空間、場域、裝置或設備，公布本市通過環境教育設施場所認證之場域,http://opendata.taichung.gov.tw/dataset/3ad1f197-1a9f-11e8-8f43-00155d021202,序號、設施場所名稱、設施場所地址或座落、申請單位全銜、申請單位統一編號、申請單位地址、認證核准字號、核准日期、有效期限\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,休閒旅遊,11,臺中市政府環境保護局,林淳鎂,04-22276011#66136,全臺中市,中文,rawData,教育設施場所,
144,臺中市公車業者資料,該資料集為臺中市市區公車業者資料，包含業者名稱、電話、地址、申訴專線等資訊，供民眾參考使用,http://opendata.taichung.gov.tw/dataset/3ad20436-1a9f-11e8-8f43-00155d021202,"客運業者,電話,地址,服務時段,申訴專線\r\n",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,1,臺中市政府交通局,陳致穎,22289111#61113,全臺中市,中文,rawData,"業者, 臺中市, 市區公車",
145,臺中市垃圾及資源回收車動態資訊,本市自縣市合併以來，轄區遼闊共包含27區清潔隊，為提供市民即時查詢垃圾清潔車位置及設定到清運點前之主動提醒服務，並有效管理車輛動態，本計畫擬運用全球衛星定位系統、無線通訊及地理資訊系統等科技，將車輛、人員、路線、清運狀況等相關資料及其即時訊息，整合建置於「清潔車即時衛星定位便民查詢及管理系統」中，以提升為民服務品質及車輛動態管理效率之目標，本服務主要提供清潔車及資源回收車動態資訊，包含清運點編號、車牌號碼、回傳時間及回傳地點。,http://opendata.taichung.gov.tw/dataset/3ad48b40-1a9f-11e8-8f43-00155d021202,清運點編號、車牌號碼、回傳時間、回傳地點,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,公共資訊,0,臺中市政府環境保護局,范雅淳,22276011#66617,全臺中市,中文,SERVICES,"垃圾車, 資源回收車, 動態, 地理資料",
146,臺中市嫌疑犯人數按職業別,臺中市嫌疑犯人數按職業別,http://opendata.taichung.gov.tw/dataset/3ae457d1-1a9f-11e8-8f43-00155d021202,臺中市嫌疑犯人數按職業別,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,0,臺中市政府警察局,鍾麗涵,0423286981,,中文,rawData,"嫌疑犯, 職業",
147,臺中市各區法律諮詢服務處服務時間、地點及聯絡電話,"臺中市各區法律諮詢服務處服務時間、地點及聯絡電話
上午(9：00到12：00) 下午(14：00到17:00)每次諮詢時間為15分
大肚區服務場次另公告於以下連結：
http://www.legal.taichung.gov.tw/23233/23278/23290/829209//post",http://opendata.taichung.gov.tw/dataset/3b02c257-1a9f-11e8-8f43-00155d021202,單位名稱、電話、地址、星期一上午、星期一下午、星期二上午、星期二下午、星期三上午、星期三下午、星期四上午、星期四下午、星期五上午、星期五下午,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,公共資訊,30,臺中市政府法制局,許從宜,04-22289111#23034,全臺中市,中文,rawData,法律諮詢,
148,臺中市長青福利服務-長青學苑,1.107年起長青學苑由各區公所主辦，如有課程相關問題請洽各區公所，或至本市長青學苑網站( https://old65.taichung.gov.tw/ )查詢。 2. 年於12月辦理招生。 3. 研習時間為一年，分上、下學期。 4. 開設班別分：含本國語文及國學、外國語文、國樂、戲劇、手工藝、居家環境研究、 電腦(資訊)、歌唱、樂器、健身、槌球、書畫、園藝、民謠及其他各類科等。,http://opendata.taichung.gov.tw/dataset/3abb866f-1a9f-11e8-8f43-00155d021202,區別、地址、電話,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,求學及進修,29,臺中市政府社會局,吳美玲,37422,全臺中市,中文,rawData,長青學苑,107年起長青學苑由各區公所主辦，如有課程相關問題請洽各區公所，或至本市長青學苑網站( https://old65.taichung.gov.tw/ )查詢。
149,臺中市夜間急診或24小時急診動物醫院,臺中市夜間急診或24小時急診動物醫院,http://opendata.taichung.gov.tw/dataset/3ac85c47-1a9f-11e8-8f43-00155d021202,序號、業務類別、醫院名稱、區域、醫院地址、醫院電話、急診服務,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,就醫,0,臺中市政府農業局,籃秀珍,23869425#510,臺中市,中文,rawData,臺中市夜間急診或24小時急診動物醫院  ,
150,臺中市車輛偵測器資料,資料蒐集時間、車道逐一詳列分鐘佔有率偵測值,http://opendata.taichung.gov.tw/dataset/3ae4454c-1a9f-11e8-8f43-00155d021202,"vdid設備。\r\nstatus狀態(正常為0，通訊異常為1，停用或施工中為2，設備故障為3)。\r\nvsrdir偵測車道方向，以0 和1 表示。\r\nvsrid車道(由內車道而外車道，以阿拉伯數字1,2,3,4,…表示)。\r\ncarid車種。\r\nspeed5分鐘平均速率(單位：kph)。\r\nvolume 依5分鐘流量偵測值。",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每小時,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,車輛偵測器資料,
151,警察局103年1月份交通事故資料,臺中市警察局103年1月份交通事故資料,http://opendata.taichung.gov.tw/dataset/1b390e8c-1b54-11e8-8f43-00155d021202,臺中市警察局103年1月份交通事故資料,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府警察局,施勝民,04-23274275,,中文,rawData,"103年1月, 交通事故",
152,臺中市政府取締攤販情形統計,臺中市政府警察局各分局取締攤販人數件數統計資訊,http://opendata.taichung.gov.tw/dataset/1b390df2-1b54-11e8-8f43-00155d021202,告發、總計、罰鍰(40％)、沒入攤架(30％)、拆除攤架(30％)、勸導,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,公共資訊,0,臺中市政府警察局,宋屘堂,0423273914,臺中市,中文,rawData,取締攤販,
153,臺中市子宮頸癌篩檢醫療院所,子宮頸篩檢醫療院所,http://opendata.taichung.gov.tw/dataset/3ace8b0d-1a9f-11e8-8f43-00155d021202,序號、區域、醫事機構名稱、地址、電話\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,就醫,0,臺中市政府衛生局,林惠華,25265394*3360,,中文,rawData,子宮頸,
154,臺中市糖尿病健康促進機構一覽表      ,臺中市糖尿病健康促進機構一覽表  ,http://opendata.taichung.gov.tw/dataset/3ace973a-1a9f-11e8-8f43-00155d021202,醫事機構名稱、住址、電話\r\n,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每年,免費,就醫,0,臺中市政府衛生局,龔美文,25265394轉3330,,中文,rawData,"糖尿病, 健康促進",
155,臺中市公車月運量,臺中市公車月運量,http://opendata.taichung.gov.tw/dataset/3ad4a136-1a9f-11e8-8f43-00155d021202,"民國年月,公車月運量",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,73,臺中市政府交通局,陳芓頲,222891111+61123,,中文,rawData,公車月運量,
156,臺中市停車場剩餘車位,提供本市公有停車場即時剩餘車位系統介接程式。,http://opendata.taichung.gov.tw/dataset/3adff272-1a9f-11e8-8f43-00155d021202,停車場名稱、停車場地址、經度、緯度、收費時間、收費費率、備註、汽車總車位、汽車剩餘車位、機車總車位、機車剩餘車位,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,即時,免費,交通資訊,0,臺中市政府交通局,許寶珠,0422258160#61372,全臺中市,中文,SERVICES,"交通, 停車場, 剩餘車位",第3方開發者介接檔案範例(倘需申請更新，請至停管處網站-便民服務-便民下載-其它類別-臺中市停車場剩餘車位資訊申請使用授權書(http://tcparking.taichung.gov.tw/ParkWeb/PublicService/PublicDownLoad)，下載申請表
157,臺中市橋梁資訊,臺中市橋梁資訊,http://opendata.taichung.gov.tw/dataset/3af252ef-1a9f-11e8-8f43-00155d021202,橋梁名稱、所在區鄉、路線、參考地標、是否為跨水橋、跨越物體、橋梁總長(M)、結構型式,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,1884,臺中市政府建設局,洪志岳,0422289111+33421,全臺中市,中文,rawData,"橋梁, 檢測",
158,臺中市車輛行車事故鑑定案件分類統計表,臺中市車輛行車事故鑑定案件分類統計表100年至105年,http://opendata.taichung.gov.tw/dataset/3af77dcd-1a9f-11e8-8f43-00155d021202,「年份」、「月份」、「民眾申請」、「司法機關囑託數」、「總收案件(年)」,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,10320,臺中市政府交通局,陳志聿,(04)22252068分機215,,中文,rawData,車輛行車事故鑑定案件分類,
159,臺中市民營停車場資料 ,臺中市民營停車場資料,http://opendata.taichung.gov.tw/dataset/3af78363-1a9f-11e8-8f43-00155d021202,年度、編號、區別、核准字號、停車場名稱、公司名稱、電話、通訊錄、建物內容停車場形式、使用層樓面積(平方公尺)、停車場位置、土地標示、大型車、小型車、身障汽車格位、機車、身障機車格位、使用期限、備註,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每月,免費,交通資訊,0,臺中市政府交通局,呂榮琛,22289111#61378,,中文,rawData,臺中市民營停車場,
160,臺中市捷運綠線車站點位資料,臺中市捷運綠線車站點位資料,http://opendata.taichung.gov.tw/dataset/3ac856b7-1a9f-11e8-8f43-00155d021202,捷運站代號、經度、緯度\r\n\r\n本市捷運綠線工程刻正積極建設中，經緯度為車站中點位置,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,18,臺中市政府交通局,林冠綸,22289111#61657,全臺中市,中文,rawData,"北屯文心烏日捷運, 臺中市捷運綠線, 地理資料",
161,臺中市車輛偵測器設備位置,"py:經度
px:緯度
roadsection:偵測路段描述",http://opendata.taichung.gov.tw/dataset/3aed1813-1a9f-11e8-8f43-00155d021202,設備編號、路段編號、偵測路段描述、路段(Link)所屬Location Path ID、 路段(Link)起點ID、 路段(Link)迄點ID、車輛偵測器可以偵測到的車道方向、所在路段VD偵測之總車道數、設置地點及說明、經度、緯度,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每日,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,"車輛偵測器設備位置, 地理資料",
162,臺中市交通影像靜態資訊,交通影像靜態資訊,http://opendata.taichung.gov.tw/dataset/3af2290d-1a9f-11e8-8f43-00155d021202,"py(經度),px(緯度),roadsection(攝影機位置),cctvid(攝影機編號)、路段(Link)迄點Location Point ID、路段(Link)起點Location Point ID、路段(Link)所屬Location Path ID",一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每日,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,交通影像靜態資訊,
163,臺中市資訊可變標誌系統播放訊息,資訊可變標誌系統播放訊息,http://opendata.taichung.gov.tw/dataset/3ae443d9-1a9f-11e8-8f43-00155d021202,cmsid設備代碼\r\nstatus狀態(正常為0，通訊異常為1，停用或施工中為2，設備故障為3、目前無資料顯示為4、目前正執行循環顯示為5)。\r\nmessage內容訊息,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每小時,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,資訊可變標誌系統播放訊息,
164,臺中市拖吊保管場,標題、拖吊場名稱、地址、聯絡電話 ,http://opendata.taichung.gov.tw/dataset/3af7878c-1a9f-11e8-8f43-00155d021202,拖吊場名稱、拖吊場地址、拖吊場連絡電話、座標-經度、座標-緯度,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,不定期,免費,交通資訊,0,臺中市政府交通局,侯中豪,(04)22289111#60531,,中文,rawData,"拖吊場名稱, 拖吊場地址",
165,臺中市資訊可變標誌系統靜態資料,資訊可變標誌系統建置位置,http://opendata.taichung.gov.tw/dataset/3ae44266-1a9f-11e8-8f43-00155d021202,cmsid設備代碼\r\nlocationpath路段(Link)\r\nstartlocationpoint路段(Link)起點Location Point ID\r\nendlocationpoint路段(Link)迄點Location Point ID\r\nroadsection路段文字描述\r\npx設備架設位置X 坐標(坐標系統為WGS84\r\npy設備架設位置Y 坐標,一般民眾,http://opendata.taichung.gov.tw/licenseTerms,每日,免費,交通資訊,0,臺中市政府交通局,曹雅珺,04-22289111#60213,,中文,rawData,資訊可變標誌系統建置位置,
