提供機關名稱,資料集名稱,瀏覽人次,下載次數,資料集評分,上架日
衛生福利部疾病管制署,地區年齡性別統計表-侵襲性肺炎鏈球菌感染症(以週為單位),"1,297","2,009",,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-疱疹B病毒感染症(以週為單位),891,586,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-弓形蟲感染症(以週為單位),"1,110",574,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-布氏桿菌病(以週為單位),"1,076",598,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-中東呼吸症候群冠狀病毒感染症(以週為單位),"1,077",596,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-黃熱病(以週為單位),"1,149",596,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-伊波拉病毒感染(以週為單位),"1,052",637,20,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-拉薩熱(以週為單位),"1,009",602,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-馬堡病毒出血熱(以週為單位),912,602,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-裂谷熱(以週為單位),906,604,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-新型A型流感(以週為單位),"1,208",794,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-登革熱(以週為單位),"2,705","2,286",,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-腸病毒感染併發重症(以週為單位),"2,006","5,620",100,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-結核病(以週為單位),"1,214",714,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-桿菌性痢疾(以週為單位),"1,321",624,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-阿米巴性痢疾(以週為單位),"1,117",626,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-恙蟲病(以週為單位),"1,195",635,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-日本腦炎(以週為單位),"1,183",632,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-屈公病(以週為單位),969,608,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-西尼羅熱(以週為單位),"1,015",606,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-流行性斑疹傷寒(以週為單位),"1,156",632,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-類鼻疽(以週為單位),"1,392","1,390",,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-鉤端螺旋體病(以週為單位),"1,140","1,317",,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-狂犬病(以週為單位),"1,432",623,,2014/12/29
衛生福利部疾病管制署,地區年齡性別統計表-流感併發重症(以週為單位),"2,571","3,377",60,2014/12/29
行政院農業委員會,全台保安林分布概略圖,"8,286","1,268",100,2014/12/30
行政院農業委員會,土壤管理組圖,"4,381",707,100,2014/12/30
行政院農業委員會,臺灣現生天然植群圖,"3,969",566,60,2014/12/30
行政院農業委員會,森林遊樂區範圍界,"2,698",326,,2014/12/30
行政院農業委員會,野生動物重要棲息環境,"3,698",601,100,2014/12/30
行政院農業委員會,自然保留區,"4,522",724,100,2014/12/30
交通部,界線範圍-路網數值圖服務網,"3,818",861,100,2016/06/14
交通部,站點資訊-路網數值圖服務網,"4,816","1,255",100,2016/06/14
交通部,國家風景區經營管理範圍,"6,522","1,060",100,2016/06/14
交通部,路線資訊-路網數值圖服務網,"15,279","4,809",20,2016/09/26
海洋委員會海巡署,行政院海岸巡防署志願役士兵訓練成效,"1,102",65,,2014/12/31
海洋委員會海巡署,行政院海岸巡防署海巡特考錄取人員訓練成效,"1,428",69,,2014/12/31
海洋委員會海巡署,行政院海岸巡防署志願役專業軍官訓練成效,"1,096",59,,2014/12/31
教育部體育署,運動傷害防護員歷屆報考人數與通過人數,"2,816",314,20,2014/12/31
教育部體育署,體育課好好玩-運動教材,"1,257",107,60,2014/12/31
教育部體育署,體育課好好玩-運動教案,"2,811",150,,2014/12/31
教育部體育署,103年度全國公私立游泳池查核情形,"1,772",138,,2014/12/31
海洋委員會海巡署,海洋總局及各海巡隊聯絡資訊,"1,010",54,,2015/01/02
海洋委員會海巡署,海洋巡防總局及各海巡隊廳舍圖片,991,49,,2015/01/02
海洋委員會海巡署,海洋巡防總局動力小船駕駛訓練統計,"1,213",62,,2015/01/02
海洋委員會海巡署,行政院海岸巡防署1000噸艦艇資料及圖片,904,65,,2015/01/02
海洋委員會海巡署,AED心臟去顫器裝置地點,"1,096",102,,2015/01/02
海洋委員會海巡署,海巡服務據點資訊-馬祖大隊,"1,297",57,,2015/01/02
海洋委員會海巡署,新建工程基本資料,"1,411",56,,2015/01/02
海洋委員會海巡署,前行政院海岸巡防署104年度各月會計月報,"1,406",92,,2015/01/02
海洋委員會海巡署,淨灘執行成效統計,"1,625",126,60,2015/01/02
海洋委員會海巡署,節能減碳統計,"1,551",92,,2015/01/03
海洋委員會海巡署,資源回收執行成效,"1,218",103,,2015/01/03
海洋委員會海巡署,人民進出港口安全檢查報驗申請服務統計,"1,096",46,,2015/01/03
海洋委員會海巡署,行政院海岸巡防署暨所屬各機關端正政風防制貪污工作,"1,448",47,20,2015/01/03
海洋委員會海巡署,漁業巡護,"1,361",62,,2015/01/03
內政部營建署,遊憩資訊-步道,"1,605",215,,2014/12/31
內政部營建署,遊憩注意事項,"1,058",48,,2014/12/31
內政部營建署,環境教育設施認證場所,"1,067",49,,2014/12/31
內政部營建署,國家公園地質地形,"1,556",198,,2014/12/31
內政部營建署,國家公園特色,"1,173",122,,2014/12/31
內政部營建署,景點-遊憩據點,"6,430","3,000",40,2014/12/31
交通部高速公路局,交通部高速公路局北區養護工程分局暨所屬單位地址及電話一覽表,986,54,,2016/04/08
民用航空局,國際及兩岸定期班表,"3,686",266,,2016/07/18
中央選舉委員會,直轄市山地原住民區區長選舉結果概況,"1,443",163,,2015/03/05
中央選舉委員會,直轄市山地原住民區區長選舉結果,"1,847",192,20,2015/01/07
中央選舉委員會,直轄市山地原住民區區民代表選舉結果概況,"1,337",139,,2015/01/07
內政部營建署,台江國家公園海域土地使用分區圖,"2,634",252,20,2015/01/07
內政部營建署,台江國家公園陸域土地使用分區圖,"3,613",319,,2015/01/07
交通部航港局,103年12月國際商港船舶進出港動態資料,"1,250",57,,2015/01/08
海洋委員會海巡署,行政院海岸巡防署海岸巡防總局及所屬104年度會計月報,"2,015",91,,2015/01/09
海洋委員會海巡署,海岸巡防機關廉政宣導成果,"1,333",53,,2015/01/09
海洋委員會海巡署,海岸巡防機關廉政倫理事件登錄情形,"1,139",54,,2015/01/09
海洋委員會海巡署,行政院海岸巡防署海洋巡防總局104年度會計月報,"2,443",101,,2015/01/09
海洋委員會海巡署,年度廉政民意委外調查,"1,172",48,,2015/01/09
海洋委員會海巡署,海岸巡防總局年度受贈財務總表,"1,436",61,,2015/01/09
海洋委員會海巡署,海岸管制區「管制區域一覽表」,"3,064",242,80,2015/01/09
海洋委員會海巡署,行政院海岸巡防署103年度單位決算(審定本),"1,458",98,,2015/01/09
海洋委員會海巡署,心理諮商資料庫,"1,958",169,,2015/01/09
交通部高速公路局,臨時道路使用路權申請資料(國道體育活動),"3,478",107,80,2016/04/28
法務部檢察司,無名屍資料,"3,849",337,100,2015/01/20
法務部檢察司,自由經濟示範區特別條例草案」第3次公聽會報告,"1,151",43,,2015/01/20
法務部檢察司,自由經濟示範區開放法人律師事務所問答集,"1,082",51,,2015/01/20
法務部資訊處,"重要系統簡介 刑事篇","1,184",131,100,2015/01/21
法務部資訊處,自行開發系統列表,"1,280",102,,2015/01/21
文化部,查詢單一類別未過期活動資料,"1,691",138,,2015/01/21
文化部,查詢單一文化設施詳細資料,"1,794",144,,2015/01/21
文化部,經緯度查詢附近未過期活動,"1,978",175,,2015/01/21
文化部,查詢單一活動詳細資料,"1,780",161,,2015/01/21
文化部,查詢單一類別文化設施資料,"1,811",141,,2015/01/21
文化部,經緯度查詢附近文化設施資料,"2,946",353,100,2015/01/21
文化部影視及流行音樂產業局,影視局錄影節目影片明細,"1,464",103,,2015/01/21
民政司,直轄市原住民區長,"1,061",42,,2015/01/21
民政司,直轄市原住民區代表,"1,226",38,,2015/01/21
衛生福利部食品藥物管理署,監視成分藥品執行國內BA/BE/Dissolution試驗清單資料集,"2,341",277,,2015/01/22
衛生福利部食品藥物管理署,非監視成分藥品執行國內BA/BE/Dissolution試驗資料集,"1,283",158,,2015/01/22
衛生福利部食品藥物管理署,監視成分藥品執行國內BA/BE試驗統計資料集,"1,479",154,,2015/01/22
衛生福利部食品藥物管理署,非監視成分藥品執行國內BA/BE試驗統計資料集,"1,455",133,,2015/01/22
交通部中央氣象局,颱風消息與警報-颱風侵襲機率,"2,028","15,161",40,2015/12/29
法務部保護司,財團法人更生保護會總會及各地分會一覽表(含聯絡地址及電話),"1,267",87,100,2015/01/26
國防部,國防部譯印外文軍事書籍統計表,984,32,,2015/02/10
交通部中央氣象局,颱風消息與警報-颱風消息,"3,414","88,450",40,2015/12/29
國防部,政治作戰局推動新文藝運動補、捐（獎）助其他政府機關或團體私人經費情形,904,20,,2015/02/10
國防部,國軍第48屆文藝金像獎得獎人員名冊,"1,079",24,,2015/02/10
國防部,國防部各乙級單位新聞業務聯繫電話表,"1,550",49,,2015/02/10
衛生福利部中央健康保險署,家庭醫師整合性照護計畫院所,"3,556",588,100,2015/11/23
法務部,中央機關國家賠償概況,"1,540",242,,2015/01/26
原住民族委員會,台灣原住民族文化園區文化體驗時間表,997,45,,2015/11/01
原住民族委員會,台灣原住民族文化園區歌舞表演時間表,"1,586",91,80,2015/11/01
原住民族委員會,原住民族16族語方言之分布參考表,"1,947",155,,2015/11/01
法務部,全國政府機關（含中央機關）國家賠償實施概況統計表,"2,452",118,,2015/01/26
法務部,全國機關(含直轄市及各縣(市)政府)辦理國家賠償事件收結情形表,"1,774",124,,2015/01/26
法務部,"國家賠償法實施以來各級政府機關預算編列與賠償數額對照表 ","1,729",137,,2015/01/26
法務部保護司,財團法人犯罪被害人保護協會總會及各地分會一覽表,"1,170",72,,2015/01/29
交通部高速公路局,國道新建工程局研究計畫一覽表,"1,573",67,,2016/01/12
法務部保護司,各地司法保護中心一覽表,"1,148",85,,2015/01/29
法務部保護司,各地毒品危害防制中心聯絡資訊一覽表,"1,141",60,80,2015/01/27
國家通訊傳播委員會,行動應用軟體服務績效調查表,"1,442",105,,2015/01/28
勞動部勞動力發展署技能檢定中心,即測即評及發證技能檢定各梯次、職類、期程異動公告,"1,823",168,,2015/01/27
勞動部勞動力發展署,「即測即評及發證檢定」之承辦單位資料,"1,505",183,20,2016/12/30
國家通訊傳播委員會,國家通訊傳播委員會所屬財團法人董事長或經理人及其他從業人員依「政府捐助之財團法人從業人員薪資處理原則」辦理情形彙整表,"1,673",53,,2015/01/28
國家通訊傳播委員會,公款捐補助季報表,"1,301",64,,2015/01/28
國家通訊傳播委員會,媒體廣告月報表,"1,626",160,,2015/01/28
文化部,蒙藏最新出版品一覽表,"1,409",82,,2015/01/27
臺灣港務股份有限公司,高雄港統計年報,"2,261",207,100,2016/07/11
文化部,內外蒙古資訊查詢網址一覽表,"1,619",95,,2015/01/27
文化部,西藏資訊查詢網址一覽表,"2,031",104,,2015/01/27
文化部,國內佛學團體網址連結一覽表,"1,858",155,20,2015/01/27
臺灣港務股份有限公司,高雄港姊妹港一覽表,"1,802",123,,2016/07/11
文化部,蒙藏委員會預算書,"3,697",533,20,2015/01/27
文化部,蒙藏委員會決算書,"2,193",235,,2015/01/27
文化部,藏族節慶簡表,"1,893",100,,2015/01/27
國家通訊傳播委員會,"有線廣播電視事業發展基金附屬單位預算案 ","1,471",92,,2015/01/28
國家通訊傳播委員會,"通訊傳播監督管理基金附屬單位預算案 ","1,402",112,,2015/01/28
國家通訊傳播委員會,國家通訊傳播委員會單位預算書,"1,176",63,,2015/01/28
國家通訊傳播委員會,國家通訊傳播委員會單位預算案,"1,150",81,,2015/01/28
臺灣港務股份有限公司,臺灣港務股份有限公司組織架構,"1,627",114,,2016/07/05
國家通訊傳播委員會,電視使用行為及滿意度調查主題及其重點,"2,964",191,,2015/01/28
國家通訊傳播委員會,行動寬頻業務發展趨勢與監理機制分析主題及其重點,"1,143",63,,2015/01/28
國家通訊傳播委員會,寬頻固定網路接取技術委託研究案主題及其重點,"1,020",53,,2015/01/28
國家通訊傳播委員會,新興媒體內容治理架構之探討主題及其重點,"1,406",56,,2015/01/28
國家通訊傳播委員會,新興視訊平台發展對有線電視產業衝擊之研究主題及其重點,"1,216",88,,2015/01/28
國家通訊傳播委員會,建立電視收視質指標研究主題及其重點,907,37,,2015/01/28
國家通訊傳播委員會,考察先進國家之網路互連接續費監理機制,"1,190",48,,2015/01/28
國家通訊傳播委員會,國際數位多媒體及廣播科技展覽暨研討會報告書,"1,094",39,,2015/01/28
國家通訊傳播委員會,國家通訊傳播委員會施政績效報告,915,69,,2015/01/28
國家通訊傳播委員會,施政計畫編審管制及評核作業要點,735,46,,2015/01/28
原住民族委員會,歷年台閩縣市鄉鎮市區原住民族人口-按性別年齡,"1,366",132,,2015/11/01
原住民族委員會,100-103年台閩縣市原住民族人口-按性別族別(12月),"1,423",82,,2015/02/05
原住民族委員會,歷年台閩縣市原住民族人口-按性別年齡,"1,590",129,,2015/11/01
國家通訊傳播委員會,國家通訊傳播委員會獎助之傳播內容研究碩士論文,891,40,,2015/01/28
國家通訊傳播委員會,"國家通訊傳播委員會施政計畫核定版 ",795,40,,2015/01/28
國家通訊傳播委員會,國家通訊傳播委員會施政計畫草案版,770,60,,2015/01/28
原住民族委員會,歷年台閩縣市鄉鎮市區原住民族人口-按性別族別,"1,269",95,,2015/11/01
國家通訊傳播委員會,廣播電臺收聽行為調查研究,"1,716",299,,2015/01/28
國家通訊傳播委員會,如何提高電信管制射頻器材進口許可證網路申辦率及效能，以強化政府效能之研究,949,59,,2015/01/28
原住民族委員會,歷年台閩縣市鄉鎮市區原住民族人口-原鄉人數統計,"1,440",125,,2015/11/01
國家通訊傳播委員會,電視頻道節目重播率調查與規範政策研究,"1,469",77,,2015/01/28
國家通訊傳播委員會,光纖用戶迴路及未來整體監理趨勢分析研究報告,953,89,,2015/01/28
原住民族委員會,歷年台閩縣市鄉鎮市區原住民族人口-都會比例,"1,557",118,,2015/11/01
國家通訊傳播委員會,有線電視數位匯流平台技術發展與規範委託研究報告,"1,248",294,,2015/01/28
國家通訊傳播委員會,有線電視干擾量測委託研究期末報告,964,60,,2015/01/28
行政院環境保護署,環保署單位預算書,988,76,,2015/02/09
行政院環境保護署,環保署單位決算書,876,66,,2015/02/09
行政院環境保護署,環保署附屬單位預算書,990,73,,2015/02/09
行政院環境保護署,環保署附屬單位決算書,"1,057",73,,2015/02/09
行政院環境保護署,環保署廣告經費執行情形,"1,037",62,,2015/02/09
國家通訊傳播委員會,臺捷通訊傳播雙邊交流合作會議出國報告,940,43,,2015/01/28
行政院環境保護署,環保署裁罰處分,"17,177","4,225",20,2017/06/13
行政院環境保護署,環保署辦理人民申請提供政府資訊案件統計,929,56,,2015/02/09
國家通訊傳播委員會,有線廣播電視事業發展基金附屬單位決算,"1,317",69,,2015/01/28
行政院環境保護署,環保署國家賠償事件處理情形統計,915,57,,2015/02/09
國家通訊傳播委員會,通訊傳播監督管理基金附屬單位決算,"1,547",69,,2015/01/28
行政院環境保護署,環保署業務標準作業流程-綜計處,881,53,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-空保處,"1,203",91,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-水保處,"1,274",74,,2015/02/09
國家通訊傳播委員會,國家通訊傳播委員會單位決算,"1,577",81,,2015/01/28
行政院環境保護署,環保署業務標準作業流程-廢管處,924,75,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-管考處,927,82,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-監資處,"2,233",85,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-環管處,"1,270",59,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-環境督察總隊,"1,266",65,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-秘書室,834,41,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-回收基管會,"1,216",52,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-土污基管會,"1,426",69,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-環境檢驗所,"1,060",51,,2015/02/09
行政院環境保護署,環保署業務標準作業流程-環境訓練所,886,49,,2015/02/09
行政院環境保護署,環保署公共建設推動環保專案小組聯繫窗口及相關資訊,958,47,,2015/02/09
行政院環境保護署,環保署財團法人環境資源研究發展基金會政府遴(核)派人員相關資訊一覽表,"1,579",77,,2015/02/09
行政院環境保護署,環保署財團法人環境與發展基金會政府遴(核)派人員相關資訊一覽表,882,72,,2015/02/09
交通部,交通部年度施政計畫,"1,558",134,,2015/12/29
交通部,交通部中程施政計畫,"1,029",67,,2015/12/29
交通部,交通部年度施政績效報告,"1,173",52,,2016/05/23
臺灣港務股份有限公司,臺灣港務股份有限公司招標資訊,"1,375",97,100,2017/05/03
臺灣港務股份有限公司,臺灣港務股份有限公司統計年報,"2,869",295,,2017/01/17
臺灣港務股份有限公司,臺中港船舶動態資訊,"1,914",130,,2015/12/29
公平交易委員會,公平交易委員會對外關係文書,"1,276",73,,2015/01/31
公平交易委員會,公平交委員會對於企業訂定反托拉斯遵法規章之指導原則,991,33,,2015/01/31
公平交易委員會,企業關於反托拉斯之遵法行為守則,"1,033",67,,2015/01/31
公平交易委員會,公平交易委員103年度施政計畫,922,50,,2015/01/31
公平交易委員會,第8屆第6會期經濟委員會業務報告,"1,093",54,,2015/01/31
公平交易委員會,公平交易委員102年年報,"1,000",45,,2015/01/31
公平交易委員會,公平交易委員辦理人民申請提供政府資訊案件統計季報,"1,057",42,,2015/01/31
公平交易委員會,102年委託研究-非價格垂直適用「合理原則」之違法考量因素,"1,403",60,,2015/01/31
公平交易委員會,102年委託研究-經濟分析方法於競爭法議題應用之研究,"1,568",80,,2015/01/31
公平交易委員會,公平交易委員104年度預算書,"1,359",71,,2015/01/31
公平交易委員會,公平交易委員103年度半年結算,"1,332",78,,2015/01/31
公平交易委員會,公平交易委員會-委員會議記錄,"1,576",95,,2015/01/31
公平交易委員會,公平交易委員-本會保有及管理個人資料,"1,463",92,,2015/01/31
交通部中央氣象局,交通部中央氣象局公務出國報告,"1,627",65,,2015/12/29
臺灣港務股份有限公司,臺灣港務股份有限公司單位職掌,"1,396",76,,2016/07/05
交通部中央氣象局,交通部中央氣象局101年度起辦理政策宣導相關廣告支出明細表,"1,230",45,,2015/12/29
交通部中央氣象局,交通部中央氣象局102年度辦理政策宣導相關廣告支出明細表,955,45,,2015/12/29
交通部中央氣象局,交通部中央氣象局103年度辦理政策宣導相關廣告支出明細表,"1,001",41,,2015/12/29
交通部中央氣象局,臺美氣象預報系統發展技術合作協議第19號執行辦法,871,33,,2015/12/29
交通部中央氣象局,交通部中央氣象局規費收費標準,"1,163",42,,2015/12/29
內政部資訊中心,內政部資訊中心獎補助經費明細表,"1,341",152,100,2015/01/29
交通部中央氣象局,臺美氣象預報系統發展技術合作協議,"1,118",40,,2015/12/29
交通部中央氣象局,交通部中央氣象局促請廣電媒體於假日加強播報漁業氣象報告函,"1,289",31,,2015/12/29
交通部中央氣象局,臺美氣象預報系統發展技術合作協議第20號執行辦法,"1,180",28,,2015/12/29
交通部中央氣象局,交通部中央氣象局訪問漁業岸台或漁會、漁民反映意見之辦理情形,846,34,,2015/12/29
交通部中央氣象局,臺美氣象預報系統發展技術合作協議第21號執行辦法,"1,126",31,,2015/12/29
交通部中央氣象局,臺美氣象預報系統發展技術合作協議第22號執行辦法,"1,274",35,,2015/12/29
交通部中央氣象局,中央氣象局104年單位預算案,"1,371",64,,2015/12/29
交通部中央氣象局,中央氣象局104年度概算,"1,158",134,,2015/12/29
交通部中央氣象局,中央氣象局103年度法定單位預算,"1,138",40,,2015/12/29
交通部中央氣象局,中央氣象局103年單位預算案,"1,127",46,,2015/12/29
交通部中央氣象局,中央氣象局102年單位預算,"1,032",34,,2015/12/29
交通部中央氣象局,中央氣象局102年度預算案,"1,108",46,,2015/12/29
交通部中央氣象局,中央氣象局101年度法定預算,939,33,,2015/12/29
交通部中央氣象局,中央氣象局100年度法定預算,881,28,,2015/12/29
交通部中央氣象局,中央氣象局99年度法定預算,800,30,,2015/12/29
交通部中央氣象局,中央氣象局98年度法定預算,751,40,,2015/12/29
交通部中央氣象局,中央氣象局94年度單位決算,782,28,,2015/12/29
交通部中央氣象局,中央氣象局95年度單位決算,831,27,,2015/12/29
交通部中央氣象局,中央氣象局96年度單位決算,836,38,,2015/12/29
交通部中央氣象局,中央氣象局97年度單位決算,760,39,,2015/12/29
交通部中央氣象局,中央氣象局98年度單位決算,785,29,,2015/12/29
交通部中央氣象局,交通部中央氣象局氣象類委託研究計畫成果報告(歷年),"1,185",75,,2015/12/29
交通部中央氣象局,中央氣象局99年度單位決算,587,27,,2015/12/29
交通部中央氣象局,中央氣象局100年度單位決算,955,44,,2015/12/29
交通部中央氣象局,106年度兼任技術顧問提供施政意見表,699,40,,2015/12/29
交通部中央氣象局,中央氣象局101年度單位決算,"1,073",29,,2015/12/29
交通部中央氣象局,中央氣象局102年度單位決算,"1,018",66,,2015/12/29
交通部中央氣象局,101年度兼任技術顧問提供施政意見,742,32,,2015/12/29
交通部中央氣象局,100年度技術顧問提供施政意見表,940,37,,2015/12/29
交通部高速公路局,交通部高速公路局南區養護分局暨所屬單位地址及電話一覽表,"2,827",177,100,2016/06/29
交通部中央氣象局,105年度兼任技術顧問提供施政意見表,810,25,,2017/03/02
交通部中央氣象局,104年度兼任技術顧問提供施政意見表,874,18,,2017/03/02
交通部中央氣象局,103年度兼任技術顧問提供施政意見表,806,29,,2015/12/29
交通部中央氣象局,交通部中央氣象局研究發展實施要點,937,36,,2015/12/29
交通部中央氣象局,107年度氣象類委託研究計畫項目及研究主題與重點,945,45,,2015/12/29
金融監督管理委員會,金管會重大裁罰案件,"3,426",208,20,2015/01/30
金融監督管理委員會,金管會最新法令函釋,"1,461",80,,2015/01/30
交通部中央氣象局,中央氣象局委託研究計畫(期中/期末)成果報告撰寫說明,848,43,,2015/12/29
金融監督管理委員會,金管會法規草案預告,"1,139",44,,2015/02/02
交通部中央氣象局,交通部中央氣象局附屬氣象測報機構組織通則,893,78,,2015/12/29
交通部中央氣象局,中央氣象局委託研究計畫申請書,910,41,,2015/12/29
金融監督管理委員會,金管會重要公告,"1,262",74,,2015/01/30
交通部中央氣象局,交通部中央氣象局組織條例,"1,017",97,,2015/12/29
交通部中央氣象局,交通部中央氣象局科學及技術類委託研究計畫經費編列原則及基準,"1,255",95,,2015/12/29
交通部中央氣象局,交通部中央氣象局辦事細則,922,55,,2015/12/29
交通部中央氣象局,從事氣象海象預報業務許可辦法,875,67,,2015/12/29
交通部中央氣象局,專用觀測站認可辦法,954,84,,2017/01/18
交通部中央氣象局,氣象預報警報統一發布辦法,"1,354",45,,2015/12/29
交通部中央氣象局,交通部中央氣象局推動氣象實務研習計畫要點,"1,382",35,,2015/12/29
交通部中央氣象局,觀測坪探空儀追蹤器氣象雷達天線及繞極軌道氣象衛星追蹤天線周圍土地限制建築辦法,"1,247",97,,2017/01/18
交通部中央氣象局,優良氣象從業人員獎勵表揚辦法,940,39,,2015/12/29
交通部中央氣象局,交通部中央氣象局氣象海象預報許可審查作業要點,"1,214",45,,2015/12/29
金融監督管理委員會,金管會辦理國家賠償事件收結情形,"1,003",54,,2015/02/02
交通部中央氣象局,交通部中央氣象局新修訂之大雨及豪雨定義,"1,818",117,,2015/12/29
審計部,審計意見,"1,918",171,100,2015/02/26
交通部中央氣象局,災害性天氣之定義,"1,476",143,,2015/12/29
交通部中央氣象局,氣象政策白皮書,"1,134",59,,2015/12/29
交通部中央氣象局,中央氣象局核發從事氣象海象預報業務許可證之有效證照,"1,493",139,,2015/12/29
金融監督管理委員會,金管會採購契約目錄,"1,128",182,,2015/01/30
金融監督管理委員會,銀行局採購契約目錄,"1,387",139,,2015/01/30
金融監督管理委員會,保險局採購契約目錄,"1,134",243,,2015/01/30
金融監督管理委員會,檢查局採購契約目錄,"1,400",99,,2015/01/30
金融監督管理委員會,證期局採購契約目錄,"1,157",137,,2015/01/30
交通部高速公路局,國道新建工程局人民申請閱覽政府資訊要點,981,44,,2015/12/29
交通部高速公路局,國道新建工程局公共工程採購契約,"1,206",84,20,2016/01/12
客家委員會,客家委員會-法規及行政規則,"1,107",95,,2015/02/05
交通部高速公路局,國道新建工程局行政採購契約,975,56,,2016/01/12
交通部高速公路局,國道新建工程局其他採購契約,"1,098",53,,2016/01/12
客家委員會,客家委員會施政計畫與績效,"1,159",90,,2015/02/05
客家委員會,客家委員會預算及決算書,"1,100",170,,2015/02/05
客家委員會,客家委員會基礎資料,"1,118",103,,2015/02/05
交通部高速公路局,國道新建工程局公務出國報告,"1,188",55,,2015/12/29
客家委員會,客家委員會公務統計,"1,399",109,,2015/02/05
客家委員會,客家委員會辦理人民申請提供政府資訊案件統計,"1,484",110,,2015/02/05
客家委員會,客家委員會國家賠償事件統計,"1,432",104,,2015/02/05
客家委員會,客家委員會支付或接受之補助,"1,322",99,,2015/02/05
客家委員會,客家委員會政策宣導相關廣告,"1,308",125,,2015/02/09
客家委員會,客家委員會行動應用軟體服務績效調查表,"1,398",114,,2015/02/09
客家委員會,客家委員會歷年補助地方興建公共設施,"1,431",112,,2015/02/09
客家委員會客家文化發展中心,客家委員會客家文化發展中心法規及行政規則,"1,565",102,,2015/02/09
客家委員會客家文化發展中心,客家委員會客家文化發展中心預算及決算書,"1,525",108,,2015/02/09
臺灣港務股份有限公司,臺灣港務股份有限公司支付或接受之補助,"1,524",66,,2017/01/17
基隆市稅務局,基隆市最近5年地價稅稅源統計表,"1,723",99,100,2017/03/31
臺灣港務股份有限公司,臺灣港務股份有限公司附屬單位預算,"1,254",87,,2017/01/17
臺灣港務股份有限公司,臺灣港務股份有限公司附屬單位決算,"1,542",88,,2017/01/17
基隆市稅務局,基隆市最近五年契稅綜合統計表,576,56,100,2017/03/31
交通部中央氣象局,中央氣象局97年度法定預算(歲出),981,48,,2015/12/29
交通部中央氣象局,中央氣象局97年度法定預算(歲入),998,49,,2015/12/29
交通部中央氣象局,中央氣象局96年度法定預算,946,58,,2015/12/29
交通部中央氣象局,中央氣象局95年度法定預算,992,47,,2015/12/29
交通部,財團法人中華航空事業發展基金會查核報告,"2,223",61,,2015/12/29
交通部,財團法人中華民國台灣飛行安全基金會查核報告,"1,417",50,,2015/12/29
中央銀行,中央銀行經營政策,"1,241",169,,2015/02/05
國家發展委員會,國家發展委員會10萬元以上決標資料,"1,276",135,,2015/01/30
國立科學工藝博物館,國立科學工藝博物館大事紀,996,57,,2015/02/01
中央銀行,向立法院業務及專題報告,"1,317",187,,2015/02/05
交通部中央氣象局,人民申請案件處理期限表,"1,218",68,,2015/12/29
外交部,外交部單位預算,"1,673",237,80,2015/01/30
中央銀行,五大銀行存放款利率歷史月資料,"6,850","1,002",60,2015/02/05
交通部中央氣象局,臺灣南區氣象中心志工服務時數歷年統計資料表,907,37,,2015/12/29
外交部,外交部單位決算,"1,407",198,,2015/01/30
行政院國家發展基金管理會,國發基金創業天使計畫已通過申請案,"4,547",746,100,2015/01/30
中央銀行,前日金融機構牌告存放款利率異動資訊,"1,147",219,,2015/02/05
交通部中央氣象局,臺灣南區氣象中心氣象展示場參觀人數歷年統計表,"1,053",33,,2015/12/29
交通部中央氣象局,臺灣南區氣象中心實施志願服務計畫,805,28,,2015/12/29
交通部,路側設施即時交通資訊發布標準格式及補充說明,"3,557",129,,2016/05/19
