"編號","資料名稱","資料來源","更新頻率","檔案格式","資料連結網址","分類及編號","資料集描述","主要欄位說明","資料集類型","最後更新時間","資料集提供機關","資料量","收錄期間(起)","收錄期間(迄)","授權方式","計費方式","計費說明網址","計費法令依據","資料集說明網址","編碼格式","標籤/關鍵字","建立日期","資料集提供機關聯絡人","資料集提供機關電話","資料集提供機關聯絡人電子郵件","備註"
"156","臺北廣播電臺中文節目表","臺北廣播電臺","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=536e992c-7087-451c-a0aa-f47aa98406ac","公共資訊","廣播內容中文節目表，連結網頁提供線上收聽及過去60天節目音檔","頻道(channel), 星期(week), 開始時間(start_time),結束時間(end_time), 節目(program),主持人(DJ)","原始資料","2018-07-02 09:28:42","臺北廣播電臺","113","","","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","AM1134,FM93.1,臺北廣播電臺節目表","2014-12-31 11:48:09","竇恒泰","02-25951233#32","tbs-ht@mail.taipei.gov.tw",""
"157","臺北市路邊停車格位","臺北市停車管理工程處","不定期","docx,CSV","https://beta.data.taipei/dataset/detail/metadata?id=5a911ea5-1694-4301-808e-e1780d971611","公共資訊","停車格位資訊","格位類型、格位類型中文、格位編號、所在行政分區、停車格種類、所在路段等","原始資料","2018-07-02 08:46:54","臺北市停車管理工程處","","","","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8,utf-8","格位,格位類別,路段","2014-12-31 11:54:01","康益銘","02-27590666-6533","pma190050@mail.taipei.gov.tw","1.臺北市路邊停車格位提供圖層shp檔案，可供直接套圖應用，本資料係每日自動更新，資料集中所示最後更新日期是指本資料集最後修改時間，非實際圖層檔更新時間。
2.另提供收費路段路邊停車格統計資料CSV檔。"
"158","臺北市各區里疏散避難圖資訊(大同區)","臺北市大同區公所","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=ea6f3b18-9062-4594-abee-43fbb9efedbc","公共資訊","提供臺北市各區里疏散避難圖資訊連結網址","區、里、圖檔連結網址","原始資料","2018-07-02 08:17:42","臺北市大同區公所","25筆","2017-09-01","2018-06-30","依政府資料開放授權條款-第1版","免費","無","無","","UTF-8","疏散避難,防災","2014-12-31 11:04:39","劉家偉","(02)25975323分機231","tt_565@mail.taipei.gov.tw",""
"159","文具物品管理表","臺北市政府警察局","每月","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=906ff7aa-22cf-4987-8cee-4d4eeb332db9","公共資訊","北市警局文具物品使用數量","編號、物品編號、名稱/規格、單位、盤點前帳面數、盤 點 數","原始資料","2018-07-01 19:04:41","臺北市政府警察局","1個檔案","2015-08-01","2015-08-26","依政府資料開放授權條款-第1版","無","無","","","UTF-8","","2015-08-26 10:28:12","朱振輝","02-23895277","pm140031@tcpd.gov.tw",""
"160","臺北市孔廟4D劇院播映時段","臺北市孔廟管理委員會","每月","PDF","https://beta.data.taipei/dataset/detail/metadata?id=95518816-a66d-495c-b66e-75d836d86b2b","公共資訊","提供臺北市孔廟4D劇院播映時段","提供臺北市孔廟4D劇院播映時段","原始資料","2018-07-01 14:41:35","臺北市孔廟管理委員會","161","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","4D劇院,孔廟","2014-12-31 11:04:37","吳文雅","02-25923934-33","cd_lena0115@mail.taipei.gov.tw","4D劇院7月停展公告
 7/7、7/14、7/21、7/28  全日辦理生態影展系列影片、講座，開放入場。劇院「孔廟奇遇」、「一種說法」停映，
7/1  下午劇院借場，暫停開放。
7/22 上午劇院借場，暫停開放。"
"161","臺北市統計資料庫查詢系統","臺北市政府主計處","每月、年","ZIP","https://beta.data.taipei/dataset/detail/metadata?id=23ca1bc4-7c07-4f3e-84b1-bcf3e91b0ced","公共資訊","提供「重要統計資料庫」、「重要統計指標」、「物價統計資料庫」及「家庭收支資料庫」等4大部分之時間數列統計資料，輔以多元化互動式查詢功能，行政區資料更與 GIS圖資結合呈現。","統計期、統計項目、統計資料、資料來源、附註、更新日期。","原始資料","2018-06-29 15:33:05","臺北市政府主計處","1個Zip檔(包含1369檔)","1968-01-01","","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","指標,統計,資料庫","2014-12-31 11:49:16","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"162","臺北市政府暨所屬機關學校現有員工人數統計","臺北市政府人事處","按月更新","XLS","https://beta.data.taipei/dataset/detail/metadata?id=268cd629-c4fa-48ac-95e5-b9677ec12f27","公共資訊","臺北市政府暨所屬機關學校現有員工人數統計","員工現有及預算人數統計","原始資料","2018-06-29 14:48:06","臺北市政府人事處","3 PAGE","2015-04-01","","依政府資料開放授權條款-第1版","無","","","","UTF-8,utf-8","員工統計,性平","2015-08-19 17:08:02","林欣柔","02-27287732-7732","dop-a610@mail.taipei.gov.tw","按月公佈[臺北市政府暨所屬機關學校現有員工人數統計]"
"163","臺北市各行政區重要統計指標","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=f80d895d-bc4d-4a3e-81ad-039f6ddf923e","公共資訊","以統計數字傳達臺北市各行政區特性及施政成果差異之統計刊物，刊物內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計指標」項下「行政區重要統計指標」，以互動、多元化方式查詢、下載所需資料。
","統計期、統計項目、資料來源及附註。","網路服務","2018-06-29 11:34:39","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","","2015-08-13 17:40:26","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"164","臺北市近年來重要統計指標","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=d5674ff3-5677-4f08-84ed-de6670017a8e","公共資訊","以統計數字傳達臺北市施政成果，計有土地人口、婚育概況等各?指標之統計刊物，刊物內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計指標」項下「近年來重要統計指標」，以互動、多元化方式查詢、下載所需資料。","統計期、統計項目、資料來源及附註。","網路服務","2018-06-29 11:34:25","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","","2015-08-13 17:32:19","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"165","臺北市統計年報","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=8a0d8acc-9697-4b67-b9bf-7c7098d52c3b","公共資訊","含臺北市一般基本概況及重要施政成果統計，以中英雙語排版之統計刊物，刊物內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計資料庫」項下「依年別查詢」及「依行政區查詢」，以互動、多元化方式查詢、下載所需資料。","統計期、統計項目、資料來源及附註。","網路服務","2018-06-29 11:34:09","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","","2015-08-13 17:03:50","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"166","臺北市統計摘要","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=57f40560-06e2-4247-a5ba-d8bc421a1e77","公共資訊","以主題方式呈現臺北市重要施政成果之統計刊物，刊物內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計資料庫」項下「依年別查詢」及「依行政區查詢」，以互動、多元化方式查詢、下載所需資料。","統計期、統計項目、資料來源及附註。","網路服務","2018-06-29 11:33:53","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","","2015-08-13 17:21:58","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"167","臺北市與國際都市統計指標","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=82485675-3322-4228-88fb-8aa573c5456b","公共資訊","彙列臺北市政府主計處透過外交部、行政院大陸委員會轉寄問卷至主要國際都市所蒐集、編製統計指標資料之摺頁，摺頁內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計指標」項下「國際都市統計指標」，以互動、多元化方式查詢、下載所需資料。","統計期、城市別、統計項目及附註。
","網路服務","2018-06-29 11:33:28","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","","2015-08-14 09:15:55","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"168","臺北市重要統計速報","臺北市政府主計處","每月","","https://beta.data.taipei/dataset/detail/metadata?id=663b8aa3-7c9d-45c3-ae8a-7ace1f62465e","公共資訊","含臺北市土地人口等各項基本情勢與施政成果統計、社會特性比較、重要年資料及臺灣地區重要經社指標等資料之統計刊物，刊物內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計資料庫」項下「依月別查詢」，以互動、多元化方式查詢、下載所需資料。","統計期、統計項目、資料來源及附註。","網路服務","2018-06-29 11:33:13","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","","2015-08-13 16:49:51","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"169","臺北市與國內都市重要統計指標","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=fcfb3706-f99c-4f1e-a685-2959a0156c51","公共資訊","彙集臺北市與國內其他縣市施政成果統計指標之摺頁，摺頁內統計資料可至行政院主計總處「縣市重要統計指標查詢系統」，以互動、多元化方式查詢、下載所需資料。","統計期、縣市別、資料來源及附註。","網路服務","2018-06-29 11:32:57","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","","2015-08-14 08:46:41","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"170","臺北市性別統計","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=9db2a52a-d74c-4057-be7e-f0e3be442beb","公共資訊","彙集與性別、族群有關議題之統計數據，引發社會對於兩性優劣地位之關懷，並檢視社會政策落實男女平權成果之統計刊物，刊物內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計指標」項下「性別統計」，以互動、多元化方式查詢、下載所需資料。","統計期、統計項目、資料來源及附註。","網路服務","2018-06-29 11:31:40","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","性別平等,性平","2015-08-14 08:13:59","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"171","臺北市性別統計圖像","臺北市政府主計處","每年","","https://beta.data.taipei/dataset/detail/metadata?id=aabbc0d8-3dc0-4862-8fdf-8caf181d6a9a","公共資訊","將本市各類具代表性之性別指標，採文字分析輔以統計圖呈現方式之統計刊物，刊物內統計資料可至「臺北市統計資料庫查詢系統」之「重要統計指標」項下「性別統計」，以互動、多元化方式查詢、下載所需資料。","統計期、統計項目、資料來源及附註。","網路服務","2018-06-29 11:29:30","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","","性別平等,性平","2015-08-14 08:30:01","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"172","臺北市新移民統計","臺北市政府主計處","每半年","PDF,CSV","https://beta.data.taipei/dataset/detail/metadata?id=8d1d9b1b-43ff-4c64-a0d9-9aa35b469ee5","公共資訊","臺北市新移民統計資料及照顧輔導政策與實施方案執行情形統計。","統計項目、單位、定義及資料。","網路服務","2018-06-29 11:28:57","臺北市政府主計處","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2015-08-14 09:25:44","吳蔓麗","02-27287626","ta-e620021@mail.taipei.gov.tw",""
"173","臺北捷運車站電梯維修預排時程表","臺北大眾捷運股份有限公司","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=4f8b6fcd-5508-48fd-9b2f-98308ad1b0c4","交通及通訊","捷運車站最近2個月電梯預防檢修預排時程表(不含臨時性故障)，本表僅為預定排程，實際檢修時間仍依車站現場告示為主。","線別代碼、車站代碼、電梯位置代碼、編號、保養日期、保養代碼","原始資料","2018-06-29 10:01:47","臺北大眾捷運股份有限公司","662","2018-05-01","2018-07-31","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8","台北捷運,臺北捷運,電梯維修","2015-05-29 15:32:59","林昱呈","02-25505600#3114","e25407@metro.taipei",""
"174","臺北市暑期工讀案件","臺北市政府人事處","每年1次","XLS","https://beta.data.taipei/dataset/detail/metadata?id=9257ab12-d7f4-4037-835a-75d4cbfdd086","公共資訊","臺北市政府107年度大專青年學生公部門暑期工讀權責分配表
","臺北市政府107年度大專青年學生公部門暑期工讀權責分配表","網路服務","2018-06-29 09:36:31","臺北市政府人事處","約63KB","","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-08-18 16:50:22","王心柔","02-27287717-7717","dop-a209@mail.taipei.gov.tw",""
"175","臺北市行人專用時相路口及時段","臺北市交通管制工程處","不定期","ZIP","https://beta.data.taipei/dataset/detail/metadata?id=733872cf-f931-4d27-aba7-f01d7c271bdc","交通及通訊","行人專用時相路口及時段","路口編號、十字路口名稱、座標、啟用時段","原始資料","2018-06-28 17:28:33","臺北市交通管制工程處","","","","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","圖資,行人專用時相,行專","2014-12-31 11:52:33","賴怡婷","02-2556-7161#7431","te10540@mail.taipei.gov.tw ",""
"176","臺北市最近5年地價稅稅源統計表","臺北市稅捐稽徵處","不定期","XLS","https://beta.data.taipei/dataset/detail/metadata?id=04ccf404-45a3-47ea-ad4c-686beca10689","公共資訊","臺北市最近5年地價稅稅源統計表","一般用地、自用住宅用地、勞工宿舍用地、事業直接使用土地、公共設施保留地、空地","原始資料","2018-06-28 16:03:47","臺北市稅捐稽徵處","","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8","","2017-01-12 12:21:15","洪聖堯","02-27534416-278","ct-4683@mail.taipei.gov.tw",""
"177","北市健走步道","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=f76e0d09-1a40-4448-8b52-ac0add112c0a","公共資訊","北市健走步道","縣市,行政區,步道名稱,健走步道地點,健走公里數,健走時間,運動消耗量,環境特色,地址,聯絡電話,開放時間,停車場,交通方式,60公斤體重成人來回一趟消耗熱量,代換食物","原始資料","2018-06-28 14:31:05","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-28 11:28:49","林郁沛","02-27208889#1860","yupeilin@health.gov.tw",""
"178","兒童預防保健服務醫療院所","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=ae64d555-ec67-4dae-b33d-f6f00578ff3e","就醫","兒童預防保健服務醫療院所","醫事機構名稱,地址,電話","原始資料","2018-06-28 11:40:30","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-28 11:37:50","高玉芬","02-27208889#1833","knjcbaby@health.gov.tw",""
"179","新生兒危急型先天心臟病篩檢合約醫院","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=5d95c90f-9a1f-481b-ae44-03b917a8d167","就醫","新生兒危急型先天心臟病篩檢合約醫院","醫療機構,地址,電話,新生兒危急型先天心臟病篩檢","原始資料","2018-06-28 11:25:20","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-28 11:24:33","王怡雅","02-27208889#7112","amy7198132@health.gov.tw",""
"180","新生兒聽力篩檢合約醫院","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=1cb14177-3e11-4932-a49e-72f7b960fc58","就醫","新生兒聽力篩檢合約醫院","醫療機構,地址,電話,篩檢單位,","原始資料","2018-06-28 11:10:35","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-28 11:09:41","王怡雅","02-27208889#7112","amy7198132@health.gov.tw",""
"181","本府公教人員急難貸款申請人次統計表","臺北市政府人事處","每月","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=da5059a6-33f4-4f5b-a407-f380a9047951","公共資訊","本府107年公教人員急難貸款申請情形","本府公教人員急難貸款申請情形","原始資料","2018-06-28 08:58:13","臺北市政府人事處","107年急難貸款申請計1筆","2018-01-01","2018-05-31","依政府資料開放授權條款-第1版","0","","","","UTF-8","","2015-08-19 15:05:42","呂明芬","02-27258612-8612","dop-a415@mail.taipei.gov.tw",""
"182","本府公教人員住宅貸款貸放戶歷年賸餘戶數統計表","臺北市政府人事處","每月","xlsx","https://beta.data.taipei/dataset/detail/metadata?id=5cadf79d-b762-4d71-9296-81a2b3027055","公共資訊","自97年起歷年本府公教人員住宅貸款貸放戶賸餘戶數","本府歷年公教人員住宅貸款貸放戶賸餘戶數","原始資料","2018-06-28 08:55:06","臺北市政府人事處","97年至107年5月31日，約10年資料","2008-01-01","2018-05-31","依政府資料開放授權條款-第1版","0","","","","UTF-8","","2015-08-19 14:56:29","呂明芬","02-27258612","dop-a415@mail.taipei.gov.tw",""
"183","生育補助合約醫院","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=9ee72240-f9b3-42a7-bcbe-e1bb1a28a2dc","就醫","生育補助合約醫院","醫療機構,地址,電話,婚後孕前健康檢查,初唐,中唐","原始資料","2018-06-27 16:51:42","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-27 16:50:51","石乙伶","02-27208889#1833","lena8385381@health.gov.tw",""
"184","戒菸合約醫事機構","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=4c241d88-c448-4b48-96ce-14865d97807d","就醫","戒菸合約醫事機構","院所代碼,層級,院所名稱,電話,郵遞區號,縣市,鄉鎮市區,地址,給藥,衛教","原始資料","2018-06-27 16:35:00","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-27 16:33:55","王如鳳","02-27208889#7167","jufeng1304@health.gov.tw",""
"185","學童塗氟及窩溝封填合約醫院","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=fb607e44-ddbb-4f75-a8c3-c0baa6201eb6","就醫","學童塗氟及窩溝封填合約醫院","行政區,醫事機構名稱,地址,電話","原始資料","2018-06-27 16:03:27","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-27 16:02:35","洪鈞渝","02-27208889# 1816","gonnabe7@health.gov.tw",""
"186","高度近視合約醫院","臺北市政府衛生局","不定期","CSV","https://beta.data.taipei/dataset/detail/metadata?id=5f440741-05cb-4322-aec2-699cc80593bb","就醫","高度近視合約醫院","行政區,醫療院所,地址","網路服務","2018-06-27 15:32:09","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-27 15:30:52","謝雅萍","02-27208889# 1817","yaping92@health.gov.tw",""
"187","違反身心障礙者權益保障法第38條規定未足額進用名單","臺北市勞動力重建運用處","每月定期","ods","https://beta.data.taipei/dataset/detail/metadata?id=08ed553e-238b-420d-98a4-578a3ba1a93c","求職及就業","依據身心障礙者權益保障法第103條規定：「各級政府勞工主管機關對於違反第38條第1項或第2項之規定者，得公告之。」","本名單係採用勞動部勞動力發展署第四代身心障礙者定額進用資訊管理系統資料，若資料不符請逕與本處業務承辦人辦理更正事宜(電話：02-23381600轉5306、5308)。","原始資料","2018-06-27 14:38:11","臺北市勞動力重建運用處","764","2018-03-01","2018-03-31","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","","2015-07-27 14:18:57","魏妍瑾","02-23381600-5308","fd-10443@mail.taipei.gov.tw",""
"188","臺北市動產質借概況","臺北市動產質借處","每年","CSV,ods,XLS","https://beta.data.taipei/dataset/detail/metadata?id=ae156106-fa7e-49a8-876d-4bd73fdfa40b","公共資訊","揭露臺北市動產質借處年度質借狀況資料，俾供大眾了解。","以質借金額分、以客戶年齡分。","原始資料","2018-06-27 14:10:45","臺北市動產質借處","12筆","2012-01-01","2016-12-31","依政府資料開放授權條款-第1版","免費","","","","UTF-8,utf-8","","2015-11-09 16:48:56","陳政佑","02-25629862-46","cv_ps164@mail.taipei.gov.tw",""
"189","臺北市動產質借處營業概況","臺北市動產質借處","每年","CSV,ods","https://beta.data.taipei/dataset/detail/metadata?id=da9ed005-8f06-446a-b61a-d46e7d8d6ac9","公共資訊","揭露臺北市動產質借處年度營運狀況資料，俾供大眾了解。","分處別、項目、本年質借金額、件數、現金利息收入、本年變賣。","原始資料","2018-06-27 14:00:44","臺北市動產質借處","12筆","2012-01-01","2016-12-31","依政府資料開放授權條款-第1版","免費","","","","UTF-8,utf-8","","2015-11-05 17:21:28","陳政佑","02-25629862-46","cv_ps164@mail.taipei.gov.tw",""
"190","臺北市動產質借處各分處一覽表","臺北市動產質借處","每年","CSV","https://beta.data.taipei/dataset/detail/metadata?id=7dc5e262-3a5a-4460-b7c4-f578457edcd2","公共資訊","臺北市動產質借處各分處一覽表(CSV)","名稱、地址、電話、傳真、緯度、經度","原始資料","2018-06-27 13:53:23","臺北市動產質借處","1","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2018-06-22 10:32:23","陳政佑","25629862#46","cv_ps164@mail.taipei.gov.tw",""
"191","臺北惜物網服務概況","臺北市動產質借處","每年","CSV,ods","https://beta.data.taipei/dataset/detail/metadata?id=84323704-b982-40e5-ac7e-08cde19890d3","公共資訊","揭露臺北惜物網年度服務狀況資料，俾供大眾了解。(CSV)","月別、網站瀏覽人數、平均每日網站瀏覽人次、會員總人數、出貨結案件數、交易金額、參與機關學校總數。","原始資料","2018-06-27 13:52:01","臺北市動產質借處","12筆","2012-01-01","2016-12-31","依政府資料開放授權條款-第1版","免費","","","","UTF-8,utf-8","","2015-11-09 17:16:40","陳政佑","25629862#46","cv_ps164@mail.taipei.gov.tw",""
"192","臺北市市場處無障礙設施","臺北市市場處","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=f8a625d2-6529-4c6a-8852-0122d8bb740e","公共資訊","臺北市市場處無障礙設施設置情形","場地名稱、地址、無障礙設施內容、備註","原始資料","2018-06-27 10:54:05","臺北市市場處","100","","","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","","2015-06-22 14:37:30","孟惠敏","02-25505220-2812","cw-1851@mail.taipei.gov.tw",""
"193","住宅價格指數","臺北市政府地政局","每月","XML","https://beta.data.taipei/dataset/detail/metadata?id=ce4ea2c6-6334-44f8-945a-5705492b187d","公共資訊","以實價登錄資料庫為基礎，分別編製各次分區的住宅價格指數，呈現全市、全市公寓及大樓、四個合併行政區之住宅價格在不同時期之實際變動情形，俾協助各界掌握本市住宅價格之變動趨勢。","指數類別、年月、指數(101年8月為基期)、變動率(%)、標準住宅總價(萬元)及標準住宅單價(萬元/坪)","原始資料","2018-06-27 09:12:31","臺北市政府地政局","","2012-08-01","","依政府資料開放授權條款-第1版","無","","","","utf-8","","2015-05-14 18:45:52","李汪穎","02-27287437","oa-0919@mail.taipei.gov.tw",""
"194","臺?市娛?稅稅源","臺北市稅捐稽徵處","每月","PDF","https://beta.data.taipei/dataset/detail/metadata?id=be892d6f-234c-4ec5-87c6-def55734632a","公共資訊","臺?市娛?稅稅源","項目別、申報家(件)?、查定家(件)?、營業總額、報繳( 查定) 稅額、實徵稅額","原始資料","2018-06-26 09:49:07","臺北市稅捐稽徵處","","","","依政府資料開放授權條款-第1版","免費","","","","utf-8","","2017-01-06 15:43:25","洪佩儀","02-23949211-362","ct-1363@mail.taipei.gov.tw",""
"195","臺北市各區百歲人瑞人數統計表","臺北市政府民政局","每月","ods","https://beta.data.taipei/dataset/detail/metadata?id=ef26e731-22c5-41a4-9429-6f9b010894bd","公共資訊","臺北市各區百歲人瑞人數統計","區別
總人數","原始資料","2018-06-26 08:37:55","臺北市政府民政局","15","","","依政府資料開放授權條款-第1版","免費","","","","UTF-8,utf-8","","2015-08-14 11:15:34","黃珮雯","02-27208889-1906","kelly306@civil.tcg.gov.tw",""
"196","衛生局推行性別主流化相關資料","臺北市政府衛生局","不定期","","https://beta.data.taipei/dataset/detail/metadata?id=9f8c6308-ebbc-4958-b3fc-c1c18c1afba5","公共資訊","衛生局推行性別主流化資料呈現於【臺北市政府衛生局 ? 機關業務 ? 業務資訊 ? 性別主流化專區】","性別主流化專區","網路服務","2018-06-25 15:04:02","臺北市政府衛生局","","","","依政府資料開放授權條款-第1版","免費","","","","","性平","2015-08-18 15:32:47","葉怡汎","02-27208889-7123","yevon920@health.gov.tw",""
"197","臺北市路燈桿旗幟申請參考一覽表","臺北市政府環境保護局","不定期","PDF","https://beta.data.taipei/dataset/detail/metadata?id=dac325f8-0187-43d0-b5a1-7f50bb84ab4b","公共資訊","臺北市路燈桿旗幟申請參考路段、已核可活動及時間等資訊","路段、同時間核可活動數量、已核可活動及時間","原始資料","2018-06-25 13:50:02","臺北市政府環境保護局","328筆","2010-01-01","2017-09-01","依政府資料開放授權條款-第1版","免費","無","無","","utf-8","懸掛旗幟,環境保護","2014-12-31 11:54:25","劉純真","02-27208889#7276","la-7276@mail.taipei.gov.tw",""
"198","臺北捷運轉乘停車場座標","臺北大眾捷運股份有限公司","不定期","ZIP","https://beta.data.taipei/dataset/detail/metadata?id=ca697240-59ce-4a58-9ab1-3c229bff0a31","交通及通訊","臺北捷運轉乘停車場座標","停車場名稱、停車場座標","原始資料","2018-06-25 11:10:40","臺北大眾捷運股份有限公司","232","2012-05-28","","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8","停車場座標,台北捷運,臺北捷運","2014-12-31 11:05:13","葉信宏","02-25363001#8640","e01721@metro.taipei",""
"199","臺北小巨蛋廣場租用資訊","臺北大眾捷運股份有限公司","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=bcf11ef9-9855-4ee3-8750-ca3df5aaf6c4","休閒旅遊","每月臺北小巨蛋廣場租用資訊","廠商、租用起始日、租用結束日、活動名稱及租用項目","原始資料","2018-06-25 11:03:23","臺北大眾捷運股份有限公司","118","2015-06-01","2018-05-31","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8","小巨蛋,廣場租用","2015-07-31 14:28:23","江美宙","02-25783536#221","e23647@metro.taipei",""
"200","臺北小巨蛋廣告租用資訊","臺北大眾捷運股份有限公司","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=a43eb27b-e765-42b1-a663-8c563fdf10b4","休閒旅遊","每月臺北小巨蛋廣告租用資訊","廠商、租用起始日、租用結束日、活動名稱及租用項目","原始資料","2018-06-25 11:01:10","臺北大眾捷運股份有限公司","144","2015-06-01","2018-05-31","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8","小巨蛋,廣告租用","2015-07-31 14:22:43","江美宙","02-25783536#221","e23647@metro.taipei",""
"201","臺北小巨蛋場地租用資訊","臺北大眾捷運股份有限公司","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=f0497727-b2cd-46fa-87c8-c6af6bb9eada","休閒旅遊","每月臺北小巨蛋場地租用資訊","廠商、租用起始日、租用結束日、活動名稱、活動類型","原始資料","2018-06-25 10:58:32","臺北大眾捷運股份有限公司","218","2015-06-01","2018-05-31","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8","場地租用,小巨蛋","2015-07-31 14:11:55","江美宙","02-25783536#221","e23647@metro.taipei",""
"202","臺北小巨蛋冰上樂園場地使用資訊","臺北大眾捷運股份有限公司","每月","CSV","https://beta.data.taipei/dataset/detail/metadata?id=21377e2a-a0f0-4d16-aafd-f4bdd4956eac","休閒旅遊","每月臺北小巨蛋冰上樂園場地使用資訊","申請單位、租用起始日、租用結束日、活動名稱及使用類別","原始資料","2018-06-25 10:56:40","臺北大眾捷運股份有限公司","3975","2015-06-01","2018-05-31","依政府資料開放授權條款-第1版","無","無","無","無","UTF-8","冰上樂園,小巨蛋","2015-07-31 14:18:20","江美宙","02-25783536#221","e23647@metro.taipei",""
